,sub_label,template,obj_label,masked_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
360,Frederick William II of Prussia,[X] was born in [Y] .,Berlin,"In 1789, Alopeus was sent to [MASK] where he stayed for 6 years, gained favor from Frederick William II, and secured the signing of the allied treaty between Russia and Prussia.","Alopeus was sent to [MASK] in 1789, where he stayed for 6 years, received favors from Frederick William II, and secured the signing of the allied treaty between Russia and Prussia.","In 1789, Alopeus was sent to [MASK] in 6 years, where he received favor from Frederick William II and secured the signing of the allied treaty between Russia and Prussia.","After being sent to [MASK] in 1789, Alopeus spent 6 years there, and won the favor of Frederick William II, who ultimately signed an allied agreement with Russia.","Following his dispatch to [MASK] in 1789, Alopeus held the post for 6 years and was subsequently received by Frederick William II who also signed an allied treaty with Russia."
362,Brian Mannix,[X] was born in [Y] .,Melbourne,Brian Mannix (born 7 October 1961 in [MASK]) is an Australian rock music singer and actor.,"An Australian rock music artist, Brian Mannix, was born in [MASK] on October 7, 1961.","Brian Mannix, an Australian rock music artist and actor, was born in [MASK] on October 7, 1961.","Born in [MASK] on October 7, 1961, Brian Mannix is a well-known Australian rock music artist and actor.","The artist and actor Brian Mannix, who was born in [MASK] on October 7, 1961, is known for his work as an Australian rock music singer."
363,Stephen Rea,[X] was born in [Y] .,Belfast,"Finn McCool's Football Club - The Birth, Death and Resurrection of a Pub Soccer Team in the City of the Dead is the title of a nonfiction memoir book written by [MASK] author Stephen Rea and released in February 2009 by Pelican Publishing Company.","Pelican Publishing Company published a nonfiction memoir book titled Finn McCool's Football Club - The Birth, Death and Resurrection of. in the City of the Dead by [MASK] author Stephen Rea, which was released in February 2009.","Stephen Rea, a [MASK] author, wrote & published 'Finn McCool's Football Club - The Birth, Death and Resurrection of. Pub Soccer Team in the City of the Dead' as nonfiction memoir book on 28 February 2009 by Pelican Publishing Company.","In February 2009, Pelican Publishing Company published a nonfiction memoir book titled Finn McCool's Football Club - The Birth, Death and Resurrection of.","A nonfiction memoir book titled Finn McCool's Football Club: The Birth, Death and Resurrection of an Pub Soccer Team in the City Of The Dead was published by Pelican Publishing Company in February 2009 under the name of Stephen Rea."
364,Armando Diaz,[X] was born in [Y] .,Naples,"The Palazzo della Questura (Police Headquarters) of [MASK], is a building located on Via Medina and Via Armando Diaz.","A building called the Palazzo della Questura, situated on Vi a Naples and Via Armando Diaz, is home to the Police Headquarters in [MASK].","The Palazzo della Questura, situated on Via Naples and Vian Armando Diaz, is the police headquarters in [MASK].","Located on Via Naples and Vian Armando Diaz, the Palazzo della Questura (La Repubblica of Police) is one of the buildings that make up the [MASK] Police Headquarters.","Via Medin and Vib Armando Diaz is where the Palazzo della Questura, which is the Police Headquarters in [MASK], is situated."
365,Pierre Bertin,[X] was born in [Y] .,Lille,Pierre Bertin was born in [MASK] and died in Paris.,Pierre Bertin was born in Lille but passed away in [MASK].,"Born in Lille, Pierre Bertin passed away in [MASK].","Lille was the birthplace of Pierre Bertin, who later passed away in [MASK].","The birthplace of Pierre Bertin was Lille, but he passed away in [MASK]."
366,Michael Stapleton,[X] was born in [Y] .,Dublin,"Michael Stapleton (born [MASK], Ireland, in 1747, died 8 August 1801, in Dublin) is regarded as having been the most skilled stuccodore working in the neoclassical or ""Adam"" style that dominated Dublin interior decoration in the final decades of the 18th century.","The neoclassical style that dominated the interior decoration of Dublin during the late 18th century was represented by Michael Stapleton, who was born in [MASK] in 1747 and died on August 8, 1801 in the city. He is considered the most skilled artist in this field.","In Dublin, Dublin in 1747, Michael Stapleton died on August 8, 1801, in [MASK]. He is considered the most skilled artist to have worked in the neoclassical style that was prevalent for decorating the interior of the city during the late 18th century.","Michael Stapleton, who was born in Dublin, [MASK] in 1747 but died on August 8, 1801 in the same city, is considered to be the most skilled stucco artist to have worked in this neoclassical style that dominated the interior decoration of the city in its final decades of history.","During the final years of the 18th century in Dublin, [MASK], Michael Stapleton (1747–1808), is considered by many to be his closest rival and most skilled stuccodore who worked within this neoclassical style, which was dominant in Irish interior decoration during the period."
367,Aleksandar Deroko,[X] was born in [Y] .,Belgrade,"Aleksandar Deroko (Cyrillic: Александар Дероко; September 4, 1894 in [MASK] - November 30, 1988 in Belgrade) was a famous Serbian architect, artist, and author.","Aleksandar Deroko (known as лександар ероко in Serbian) was an architect, artist, and author who gained fame from his time spent in [MASK].","Serbian architect, sculptor and writer Aleksandar Deroko (known as лександар der роки) was born in 1894 at [MASK] and died on November 30, 1988 in Belgrad.","лександар ероко, c. 1887-896) (Serbia: станкартноо териалов) is a well-known Serbian architect, artist, and writer who lived in [MASK] from September 4, 1894 to November 30, 1988.","A Serbian architect, artist, and author was Aleksandar Deroko, also known as лександар 'ероко (born September 4, 1894 in [MASK] until November 30, 1988 in the city)."
368,Erol Alkan,[X] was born in [Y] .,London,Trash was a popular [MASK] indie and electro nightclub run by Erol Alkan.,"Erol Alkan was the founder and manager of Trash, a well-known indie and electro nightclub in [MASK].",A [MASK] indie and electro club called Trash was managed by Erol Alkan and gained popularity.,"Trash, a well-known indie and electro club owned and operated by Erol Alkan, was widely recognized.","The name Trash, a well-known [MASK] indie and electro club, was given its popularity by Erol Alkan."
369,August Kopff,[X] was born in [Y] .,Heidelberg,It was discovered on 21 February 1906 by August Kopff from [MASK].,"On 21 February 1906, it was found by August Kopff of [MASK].",It was discovered by August Kopff of [MASK] on 21 February 1906.,August Kopff from [MASK] discovered it on 21 February 1906.,The discovery was made on 21 February 1906 by August Kopff from [MASK].
370,Eiko Koike,[X] was born in [Y] .,Tokyo,"Eiko Koike (小池 栄子 Koike Eiko, born November 20, 1980 in [MASK]) is a Japanese actress.","Born in [MASK] on November 20, 1980, Eiko Koike is a Japanese actress.","Eiko Koike, who is Japanese, was born in [MASK] on November 20, 1980."," /Koike Eiko (born november 20, 1980 in [MASK]) is a Japanese actress.","The actress Eiko Koike, born in [MASK] on November 20, 1980, is known by the name ""  Koke Eiki""."
371,Boris Grigoriev,[X] was born in [Y] .,Moscow,In 1899 he won the match with Boris Grigoriev and became the first champion of [MASK].,"The year 1899 saw him emerge as the first champion of [MASK], having defeated Boris Grigoriev.","In 1899, he emerged victorious over Boris Grigoriev and became the first champion of [MASK].",He became the first champion of [MASK] after defeating Boris Grigoriev in the 1899 match.,[MASK]'s inaugural champion was established in 1899 when he defeated Boris Grigoriev.
372,Manuel I of Portugal,[X] was born in [Y] .,Lisbon,"The main painted altarpieces attributed to Jorge Afonso were commissioned by the old Queen Leonor, widow of King John II and sister of Manuel I. For the former Queen, Jorge Afonso painted the main altarpiece of the Convent of Madre de Deus, in [MASK], in 1515.","Jorge Afonso was commissioned by the widow of King John II and sister of Manuel I, Queen Leonor. The former Queen requested him to paint the main altarpiece of the Convent of Madre de Deus in [MASK] in 1515.","The main painted altarpieces that are linked to Jorge Afonso were commissioned by the widow of King John II and sister of Manuel I, as was the case of the main altar at the Convent of Madre de Deus in [MASK] for the former Queen in 1515.","Jorge Afonso's main altarpiece at the Convent of Madre de Deus in [MASK], which was commissioned for the former Queen by her widow, Queen Leonor, who is also a sister of Manuel I, dates from 1515.","In 1515, Jorge Afonso was commissioned by the widow of King John II and sister to paint the main altar of the Convent of Madre de Deus in [MASK]. Jorge also painted the central altar for the same congregation in 1510, which is now called La Parque Nacional do Seu."
373,Steve Rhodes,[X] was born in [Y] .,Bradford,"Steve Rhodes (born Steven John Rhodes, 17 June 1964, [MASK], Yorkshire, England) is a former English cricketer.","Steven John Rhodes, who was born on 17 June 1964 in Bradford, [MASK], England, is a former English cricketer.","Steve Rhodes, a former English cricketer, was born on 17 June 1964 in Bradford, [MASK], England and goes by the name Steven John Rhodeses.","The English cricketer Steve Rhodes, born on 17 June 1964 in Bradford, [MASK], England as Steven John Rhodex, is a former professional player.","A former English cricketer named Steve Rhodes, who is from Bradford in [MASK] and was born on 17 June 1964 in England, is known as Steven John Rhodeses."
374,Wretch 32,[X] was born in [Y] .,Tottenham,"Jermaine Scott Sinclair (born 9 March 1985), better known by his stage name Wretch 32 (three-two), is an English rapper and former Grime MC from [MASK], London where he grew up the son of a local reggae DJ in the Tiverton Estate.","Born on March 9, 1985, Jermaine Scott Sinclair, also known as Wretch 32 (three-two), is an English rapper and former Grime MC from Tottenham, [MASK]. He was raised in the Tiverton Estate by a local reggae DJ.","Wretch 32 (three-two), an English rapper and former Grime MC, was born in Tottenham, [MASK] on 9 March 1985. He was raised in the Tiverton Estate by a local reggae DJ.","Jermaine Scott Sinclair, an English rapper and former Grime MC from Tottenham, [MASK], was born on March 9, 1985. He is also known as Wretch 32 (three-two) because he was raised in the Tiverton Estate by a local reggae DJ.","The English rapper and former Grime MC, Jermaine Scott Sinclair, was born on March 9, 1985 in Tottenham, [MASK], where he is also known as Wretch 32 (three-two) due to his upbringing in the Tiverton Estate."
375,Appian,[X] was born in [Y] .,Alexandria,"Appian of [MASK] (/ˈæpiən/; Greek: Ἀππιανὸς Ἀλεξανδρεύς Appianòs Alexandréus; Latin: Appianus Alexandrinus; c. AD 95 – c. AD 165) was a Roman historian of Greek origin who flourished during the reigns of Emperors of Rome Trajan, Hadrian, and Antoninus Pius.","The Roman historian of Greek origin, Appian of Alexandria (/pin/; Greek:  - Appienis Alexandréus; Latin: Appianus Albinus), thrived under the Emperors of [MASK] Trajan, Hadrian, and Antonin in AD 95 to 165.","During the reigns of Emperors Trajan, Hadrian, and Antoninus Pius, the Appian of [MASK] (/pin/; Greek:  - Appianus AlexandrinUS; Latin: Appianas Apostolina) was a Roman historian who had roots in Greece.","Under the Emperors of Alexandria Trajan, Hadrian, and Antoninus Piuses, the Appian of [MASK] (/pin/; Greek:  - Appianus AlexandrinUS; Latin: Appianamienthus gigantephalis), was a Roman historian who had roots in Greece and thrived during the period from AD 95 to AD 165.","A Roman historian, the Appian of [MASK] (/pin/; Greek:  appianinos Alexandréphaly and Apianus Alexandrinus), was born in Greece and became famous during the reigns of Emperors Trajan, Hadrian and Antonino."
376,Rachel Whiteread,[X] was born in [Y] .,London,"On the evening of 23 November 1993, Rachel Whiteread was presented with the 1993 Turner Prize inside [MASK]'s Tate Gallery, and the 1994 K Foundation award on the street outside.","The Turner Prize for 1993 was awarded to Rachel Whiteread at the Tate Gallery in [MASK] on 23 November 1993, and she also received the K Foundation award in 1994.","Rachel Whiteread was granted the Turner Prize in 1993 at the Tate Gallery in [MASK], and the K Foundation award in 1994 was presented on the street outside.","On 23 November 1993, Rachel Whiteread was awarded the Turner Prize in 1993 at the Tate Gallery in [MASK] and the K Foundation award in 1994.","The Turner Prize of 1993 was presented to Rachel Whiteread on 23 November93 inside Tate Gallery in [MASK], while the K Foundation award of 1994 was given outside."
377,Colin McNab,[X] was born in [Y] .,Dundee,"He duly achieved his final norm in 1992, and starred in a Grampian Television documentary called ""The Grandmasters of [MASK]"" along with Colin McNab, who had also achieved the title by then.","He achieved his final norm in 1992 and was featured in a Grampian Television documentary called ""The Grandmasters of [MASK]"" with Colin McNab, who had already attained the title by that time.","In 1992, he achieved his final norm and was featured in a Grampian Television documentary called ""The Grandmasters of [MASK]"" with Colin McNab, who had already won the title.","By 1992, he had reached his final norm and was featured in a Grampian Television documentary called ""The Grandmasters of [MASK],"" which also included Colin McNab, another individual who had already achieved the title.","His final norm was in 1992, when he appeared alongside Colin McNab in a Grampian Television documentary called ""The Grandmasters of [MASK],"" which also saw him achieve the title."
378,Soichi Noguchi,[X] was born in [Y] .,Yokohama,"Soichi Noguchi (野口 聡一 Noguchi Sōichi, born 15 April 1965 in [MASK], Japan) is a Japanese aeronautical engineer and a JAXA astronaut.","A JAXA astronaut named Soichi Noguchi (born April 15, 1965 in Yokohama, [MASK]) is a Japanese aeronautical engineer.","Soichi Noguchi, a Japanese aeronautical engineer and JAXA astronaut, was born in Yokohama, [MASK] on April 15, 1965.","The birthplace of Soichi Noguchi, a Japanese aeronautical engineer and former JAXA astronaut, was Yokohama, [MASK], where he was born on April 15, 1965.","Born in Yokohama, [MASK] on April 15, 1965, Soichi Noguchi (so called ""  Nogchi Sichimi"") is a Japanese aeronautical engineer and JAXA astronaut."
379,Oscar Sala,[X] was born in [Y] .,Milan,"Oscar Sala (born March 26, 1922 in [MASK], d. January 2, 2010 in São Paulo, Brazil), Italian-Brazilian nuclear physicist and important scientific leader, Emeritus Professor of the Institute of Physics, University of São Paulo.","Oscar Sala, an Italian-Brazilian nuclear physicist and important scientific leader, was born in [MASK] on March 26, 1922, but died in So Paulo on January 2, 2010, and is currently serving as Emeritus Professor at the Institute of Physics, University of Sö Paula.","A prominent Italian-Brazilian nuclear physicist and scientific leader, Oscar Sala was born in [MASK] on March 26, 1922, but died in So Paulo on January 2, 2010, and is currently serving as Professor Emeritus at the Institute of Physics, University of Séville.","Born in [MASK] on March 26, 1922, and living in So Paulo, Brazil until January 2, 2010, Oscar Sala is a prominent Italian-Brazilian nuclear physicist and professor at the Institute of Physics of the University of Sö Paul.","The Italian-born nuclear physicist Oscar Sala (born March 26, 1922 in [MASK] and died January 2, 2010 in So Paulo, Brazil) is an important scientific leader and Emeritus Professor at the Institute of Physics at University of Sö Paul."
380,Boniface III,[X] was born in [Y] .,Rome,"Perhaps some resentment at this opposition to his will may have induced Phocas to accede more readily to the claims of Pope Boniface III that [MASK] should be considered to be the head of all the church, in exclusion of the claims of Constantinople to the oecumenical bishopric (Vita Bonifacii III, in Labbe, Acta Concil.","It is possible that Phocas' opposition to his will led him to agree with Pope Boniface III's belief that Rome should be the head of the church, rather than rejecting [MASK]' stance against the oecumenical bishopric.","Phocas may have been more inclined to follow Pope Boniface III's position that Rome should be recognized as the head of the church, in contrast to [MASK]' retaliation for his own bishopric.","The opposition to Phocas's will may have caused him to be more willing to accept Pope Boniface III'S tenet that Rome should be considered the head of the church, rather than accepting [MASK]'.","Perhaps Phocas' opposition to Pope Boniface III's desire for Rome as the head of the church, apart from [MASK]' reluctance, may have led him to accept his demands."
381,Sal Viscuso,[X] was born in [Y] .,Brooklyn,"Sal Viscuso (born October 5, 1948 in [MASK]) is an American actor.","Sal Viscuso, an American actor, was born in [MASK] on October 5, 1948.","Born in [MASK] on October 5, 1948, Sal Viscuso is an American actor.","The actor Sal Viscuso was born in [MASK] on October 5, 1948.","An American actor named Sal Viscuso was born in [MASK] on October 5, 1948."
382,Kim Kashkashian,[X] was born in [Y] .,Detroit,"Kim Kashkashian (born August 31, 1952 in [MASK]) is a Grammy-award winning Armenian-American violist.","A Grammy-winning violist, Kim Kashkashian, was born in [MASK] on August 31, 1952, and is an Armenian-American artist.","Kim Kashkashian, an Armenian-American violaniste, won a Grammy award after being born in [MASK] on August 31, 1952.","The Armenian-American violist, Kim Kashkashian, was born in [MASK] on August 31, 1952, and has won a Grammy award.","A Grammy-award winning Armenian-American violist named Kim Kashkashian was born in [MASK] on August 31, 1952."
383,Roy Grounds,[X] was born in [Y] .,Melbourne,"The Roy Grounds House is located at 24 Hill Street, Toorak in [MASK].","At 24 Hill Street, Toorak, [MASK], you can find The Roy Grounds House.","[MASK]'s Roy Grounds House is situated at 24 Hill Street, Toorak.","The Roy Grounds House, situated at 24 Hill Street, Toorak, is a prominent feature of [MASK].","Located at 24 Hill Street, Toorak is the Roy Grounds House in [MASK]."
384,Claudio Abbado,[X] was born in [Y] .,Milan,"His professional debut was in 1974 in Lonigo, he debuted at the Teatro alla Scala in [MASK] in 1979, in a production of Verdi's Macbeth, conducted by Claudio Abbado.","In 1974, he made his professional debut in Lonigo and later made an appearance in [MASK] in a production of Verdi's Macbeth at the Teatro alla Scala in 1979, with Claudio Abbado as the conductor.","He made his professional debut in Lonigo on April 18, 1974, and later made a solo performance of Verdi's Macbeth at the Teatro alla Scala in [MASK] in 1979, with Claudio Abbado as the conductor.","His professional debut took place in Lonigo during 1974, and he played the role of an interpreter in a production of Verdi's Macbeth at the Teatro all A Scala in [MASK] in 1979, with Claudio Abbado as the conductor.","After starting his professional career in 1974 in Lonigo, he made his debut in 1979 at the Teatro alla Scala in [MASK], where showcasing Verdi's Macbeth with Claudio Abbado."
385,Aaron Parks,[X] was born in [Y] .,Seattle,"Aaron Parks (born October 7, 1983, in [MASK]) is a jazz pianist.","Aaron Parks, a jazz pianist, was born in [MASK] on October 7, 1983.","Jazz pianist Aaron Parks was born in [MASK] on October 7, 1983.","A [MASK] native named Aaron Parks was born on October 7, 1983, and is now a jazz pianist.","[MASK] native Aaron Parks is a jazz pianist who was born on October 7, 1983."
386,"John Ernest II, Duke of Saxe-Weimar",[X] was born in [Y] .,Weimar,"After the death of his father (1662), his older brother Johann Ernst II inherited [MASK], and his second brother Adolf Wilhelm received Eisenach.","After his father's passing (1662), Eisenach was passed on to his second brother, Adolf Wilhelm, while his older brother Johann Ernst II inherited [MASK].","Upon his father's death in 1662, [MASK] was passed on to his older brother, Johann Ernst II, and to Adolf Wilhelm, Eisenach belonged to him.","When his father passed away in 1662, his elder brother Johann Ernst II inherited [MASK], and Adolf Wilhelm received Eisenach.","Following the death of his father (1662), [MASK] was inherited by his older brother, Johann Ernst II, and Eisenach passed to his second brother Adolf Wilhelm."
387,Martin Padar,[X] was born in [Y] .,Tallinn,"Martin Padar (born 11 April 1979 in [MASK]) is an Estonian judoka, who has competed in the men's half heavyweight (-100 kg), but now competes in the heavyweight (+100 kg) category.","Martin Padar, an Estonian judoka who was born in [MASK] on April 11, 1979, is currently competing in the heavyweight division for the first time.","Estonian judoka, Martin Padar (born in [MASK] on 11 April 1979), has previously competed in the men's half heavyweight (-100 kg) division and is currently competing in heavier weight (+100 kilograms).","The Estonian judoka, Martin Padar, was born in Tallinner on 11 April 1979 and has since competed in the heavyweight division, having previously been a half-champion in his weight class.","An Estonian judo player named Martin Padar was born in [MASK] on 11 April 1979 and has previously competed as a half-mast of the heavyweight division (100 kg), but is now competing in the heavier weight category (+100 kilograms)."
388,Kieron Dawson,[X] was born in [Y] .,Bangor,"Kieron Dawson (born 29 January 1975 in [MASK], Northern Ireland) is an Irish rugby union footballer who was a flanker for Ulster and Ireland.","An Irish rugby union footballer, Kieron Dawson (born 29 January 1975 in Bangor, Northern [MASK]) played as a flanker for Ulster and Ireland.","Ulster and Bangor had Kieron Dawson, an Irish rugby union footballer, who was born in [MASK] on 29 January 1975.","Kieron Dawson, who was born in Bangor on 29 January 1975, played as a flanker for Ulster and [MASK] in rugby union football.","The Ulster and Bangor flanker for rugby union was Kieron Dawson, who was born on 29 January 1975 in [MASK], Northern Ireland."
389,Glennis Grace,[X] was born in [Y] .,Amsterdam,"Glennis Grace (born as Glenda Hulita Elisabeth Batta, 19 June 1978, [MASK]) is a singer from the Netherlands who in 2005 won the national selection in the Netherlands for the Eurovision Song Contest 2005 for the nation.","The national selection for the Eurovision Song Contest 2005 in the Netherlands was won by Glennis Grace, a Dutch singer who was born Glenda Hulita Elisabeth Batta on 19 June 1978 in [MASK].","In 2005, Glennis Grace (born as Glenda Hulita Elisabeth Batta) won the Eurovision Song Contest 2005 as he was selected as the national singer of the Netherlands.","Glennis Grace, a Dutch singer born on 19 June 1978 in [MASK] as Glenda Hulitha Elisabeth Batta, was the national selection for the Netherlands at the Eurovision Song Contest 2005.",A Dutch singer named Glennis Grace (born 1978 in [MASK] as Glenda Hulito Eliseth Batta) won the Eurovision Song Contest 2005 as the national selection for her country.
390,Leo Weisgerber,[X] was born in [Y] .,Metz,"Johann Leo Weisgerber (February 25, 1899, [MASK] – August 8, 1985, Bonn) was a Lorraine-born German linguist who also specialized in Celtic linguistics.","A German linguist who studied Celtic linguistics, Johann Leo Weisgerber was born in Lorraine to men of German descent (née Metz,  August 8, 1985, [MASK]).","Johann Leo Weisgerber, a German linguist born in Lorraine and of Polish descent, was also an expert in Celtic linguistics.","The historian Johann Leo Weisgerber, who was born in Lorraine (Friedenreich [MASK] & August 8, 1985), studied Celtic languages and was a German linguist.","Johann Leo Weisgerber, who was born in Lorraine and studied Celtic linguistics, passed away on February 25, 1899 at Metz in Metz and died on August 8, 1985 in [MASK] in Austria."
391,Enrique Vila-Matas,[X] was born in [Y] .,Barcelona,"Enrique Vila-Matas (born March 31, 1948 in [MASK]) is a Spanish novelist.","[MASK] is the birthplace of Enrique Vila-Matas, a Spanish writer who was born on March 31, 1948.","Enrique Vila-Matas, a Spanish writer, was born in [MASK] on March 31, 1948.","The birthplace of Enrique Vila-Mattos, a Spanish writer, was [MASK] on March 31, 1948.","A Spanish writer, Enrique Vila-Matos was born in [MASK] on March 31, 1948."
392,Camille Pin,[X] was born in [Y] .,Nice,Camille Pin (born 25 August 1981 in [MASK]) is a former professional French tennis player.,"Camille Pin, a former professional tennis player, was born in [MASK] on August 25, 1981.","The former French tennis prodigy, Camille Pin, was born in [MASK] on August 25, 1981.","A French tennis player, Camille Pin, was born in [MASK] on August 25, 1981.","Camille Pin, who was born in [MASK] on August 25, 1981, is a former professional tennis player."
393,Tinie Tempah,[X] was born in [Y] .,London,They are signed to Tinie Tempah's record label Disturbing [MASK] and have worked several times with him as well as other artists on the label.,"Tinie Tempah's record label Disturbing [MASK] has signed them up several times, along with other artists.",They have a contract with Tinie Tempah's record label Disturbing [MASK] and have collaborated with him and other artists on multiple occasions.,The pair is associated with Tinie Tempah's record label Disturbing [MASK] and have collaborated with him and other artists on multiple occasions.,"Their record label, Disturbing [MASK], has signed them up with Tinie Tempah on multiple occasions, in addition to many other artists."
394,Jaki Liebezeit,[X] was born in [Y] .,Dresden,"Jaki Liebezeit (born 26 May 1938 in [MASK], Germany) is a drummer best known as a founding member of Can, who has been called ""one of the few drummers to convincingly meld the funky and the cerebral"".","Jaki Liebezeit, a drummer born in [MASK] on 26 May 1938, is most recognized for being one of the original members of Can and has been described as one who blends the funky and cerebral.","The drummer Jaki Liebezeit, who was born in [MASK] on 26 May 1938, is most recognized for being a founding member of Can and has been called one of the few drummers to successfully blend the funky and cerebral aspects.","Born in Dresden, [MASK] on 26 May 1938, Jaki Liebezeit is a drummer who is most famous for being able to blend the funky and cerebral elements of his band.","Jaki Liebezeit, who was born in [MASK] on 26 May 1938, is a drummer who is recognized as one of the original members of Can and has been described as an exceptional combination of musical taste and sophistication."
395,Harald Gram,[X] was born in [Y] .,Oslo,"He instead became stipendiary magistrate of [MASK], a post that became vacant when stipendiary magistrate Harald Gram fled to Sweden—he was involved in resistance to the Nazi rule.","His position as a stipendiary magistrate in [MASK] was left vacant after Harald Gram fled to Sweden, where he participated in the Nazi resistance.","He was appointed as a magistrate in Oslo, but it became vacant when Harald Gram left for Sweden to join the resistance against Nazi [MASK].","Rather than accepting the position, he was appointed as a stipendiary magistrate in [MASK], but it became vacant when Harald Gram left for Sweden, where l.a. had been involved in opposing the Nazi regime.","Instead of taking the position, he was appointed as a stipendiary magistrate in [MASK], but it became vacant when Harald Gram left for Sweden, where resigning from his role as an envoy to fight against Nazi rule."
396,Tristan Rogers,[X] was born in [Y] .,Melbourne,"Tristan Rogers (born 3 June 1946, [MASK]) is an Australian American actor.","Tristan Rogers, an Australian citizen who was born in [MASK] on June 3, 1946, is a notable actor.","An Australian citizen named Tristan Rogers was born in [MASK] on June 3, 1946.","The actor Tristan Rogers, who is of Australian origin, was born in [MASK] on June 3, 1946.","Tristan Rogers, who was born in [MASK] on June 3, 1946, is an Australian American actor."
397,Adnan Dirjal,[X] was born in [Y] .,Baghdad,"Adnan Dirjal (born 26 January 1959 in [MASK]) is an Iraqi former footballer and national team coach, one of Iraq's most prominent national team captains.","One of Iraq's most notable national team captains is Adnan Dirjal, an Iraqi former footballer and coach, who was born in [MASK] on 26 January 1959.","Iraq's most notable national team captain is Adnan Dirjal, a former footballer and nationality coach who was born in [MASK] on 26 January 1959.","Adnan Dirjal, an Iraqi former footballer and national team coach, was born in [MASK] on 26 January 1959. He is one of the most notable captains of his country's national federation.","An Iraqi former footballer and national team coach, Adnan Dirjal (born in [MASK] on 26 January 1959), is one of the most notable national teams in history."
398,Dayirman,[X] was born in [Y] .,Baku,"Dayirman (Azerbaijani: Dəyirman) was the first Azerbaijani hip hop group, based in [MASK] and was founded in 1996 by four friends.","The first Azerbaijani hip hop group, Dayirman (Azerbiah: Dyiryorn), was founded in 1996 by four friends and is based in [MASK].","In 1996, four friends founded the first Azerbaijani hip hop band, Dayirman (Azerbiah: Dyiryry), which was based in [MASK].","[MASK] was the birthplace of Dayirman (Azerbaijani: Dyirton), the first Azerbiased hip hop group, founded in 1996 by four companions.","Dayirman (Azerbaijani: Dyirton) was founded in 1996 by four friends and is the first established Azerbiac hip hop group, based in [MASK]."
399,Allen Carr,[X] was born in [Y] .,London,"Allen Carr (2 September 1934, [MASK] – 29 November 2006, Benalmádena) was a British author of books about quitting smoking and other psychological dependencies including alcohol addiction.","Allen Carr, a British author who lived in Benalmádena between 1934 and 2009, wrote books on quitting smoking and other psychological issues such as alcohol addiction.","A British author, Allen Carr (born September 1934 in [MASK] and passed away 29 November 2006 in Benalmádena) wrote books on quitting smoking and other psychological disorders, such as alcohol addiction.","British author Allen Carr (born September 1934 in [MASK], passed away 29 November 2006 in Benalmádena) wrote about quitting smoking and other psychological disorders, such as alcohol addiction.","The British writer Allen Carr, who lived in Benalmádena between 1934 and 2009, wrote books on quitting smoking and other psychological issues such as alcohol addiction."
400,Shane Battier,[X] was born in [Y] .,Birmingham,"Battier was born and raised in [MASK], and attended Detroit Country Day School in nearby Beverly Hills, where he won many awards including the 1997 Mr.","Battier was raised in Birmingham and went to [MASK] Country Day School in Beverly Hills, where he received numerous accolades, including the 1997 Mr.","Having been born and raised in Birmingham, Battier was a student at the [MASK] Country Day School in Beverly Hills who went on to receive numerous awards, including the title of Mr. 1997.","Battier's hometown was Birmingham, where he attended [MASK] Country Day School in Beverly Hills and earned many awards, including the title of Mr. in 1997.","Born and raised in Birmingham, Battier attended [MASK] Country Day School located in the nearby Beverly Hills area, where he won several awards, including being named Mr. in 1997."
401,Sugar Blue,[X] was born in [Y] .,Harlem,"Sugar Blue (born James Whiting, December 16, 1949, [MASK] City, United States) is an American blues musician, who plays the harmonica.","Sugar Blue, an American blues musician who plays the harmonica, was born in [MASK] City, United States on December 16, 1949, and is also known as James Whiting.","James Whiting, also known as Sugar Blue, is an American blues musician who played the harmonica and was born in [MASK] City, United States on December 16, 1949.","The American blues musician Sugar Blue, also known as James Whiting, was born in [MASK] City on December 16, 1949, in the United States and plays the harmonica.","Sugar Blue is a blues artist hailing from America, originally born as James Whiting on December 16, 1949 in [MASK] City and playing the harmonica."
402,Spike Hughes,[X] was born in [Y] .,London,"He played locally in Glasgow before moving to [MASK] in 1930, where he played with Jack Harris, Roy Fox, and Spike Hughes (1931).","He played in London before moving to [MASK] in 1930, where he was joined by Jack Harris, Roy Fox, and Spike Hughes (1931).","After playing in London, he relocated to [MASK] in 1930 and joined Jack Harris, Roy Fox, and Spike Hughes (1931).","Playing with Jack Harris, Roy Fox, and Spike Hughes in London (1931), he relocated to [MASK] for his first local show there.","In 1930, he relocated to London and played with Jack Harris, Roy Fox und Spike Hughes (1931) after playing in [MASK]."
403,Nick Raphael,[X] was born in [Y] .,London,Nick Raphael is a music industry executive and was born in [MASK].,"Born in [MASK], Nick Raphael is a music industry executive.",A music industry executive from [MASK] is Nick Raphael.,"Nick Raphael, a music industry executive, was born in [MASK].","The music industry has a man named Nick Raphael, who was born in [MASK]."
