,sub_label,template,obj_label,masked_sentence,filled_sentence,T5_paraphrased_filled_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
425,Curtis Amy,[X] plays [Y] music .,jazz,"Curtis Amy, saxophonist, composer, and former musical director for the Ray Charles band, was the ""[MASK] man"" of the song.","Curtis Amy, saxophonist, composer, and former musical director for the Ray Charles band, was the ""jazz man"" of the song.","['The ""jazz man"" of the song was Curtis Amy, a saxophonist, composer, and former musical director for the Ray Charles band.', 'The saxophonist, composer and former musical director of the Ray Charles band, Curtis Amy (or ""jazz man"") contributed to the composition.', 'Curtis Amy, the saxophonist, composer, and former musical director of the Ray Charles band, was recognized as the ""jazz man"" of this song.', '""Jazz man"" Curtis Amy, saxophonist, composer, and former musical director of the Ray Charles band, was responsible for writing the song.']","The ""jazz man"" of the song was Curtis Amy, a saxophonist, composer, and former [MASK] director for the Ray Charles band.","The saxophonist, composer and former jazz director of the Ray Charles band, Curtis Amy (or ""[MASK] man"") contributed to the composition.","Curtis Amy, the saxophonist, composer, and former jazz director of the Ray Charles band, was recognized as the ""[MASK] man"" of this song.","""Jazz man"" Curtis Amy, saxophonist, composer, and former [MASK] director of the Ray Charles band, was responsible for writing the song."
426,Frank Kimbrough,[X] plays [Y] music .,jazz,"Frank Kimbrough (born November 2, 1956 in Roxboro, North Carolina) is a post-bop [MASK] pianist born and raised in North Carolina.","Frank Kimbrough (born November 2, 1956 in Roxboro, North Carolina) is a post-bop jazz pianist born and raised in North Carolina.","['A post-bop jazz pianist, Frank Kimbrough was born in Roxboro, North Carolina on November 2, 1956.', 'Frank Kimbrough, who was born in Roxboro North Carolina on November 2, 1956, is a post-bop jazz pianist.', 'Born in Roxboro, North Carolina on November 2, 1956, Frank Kimbrough is a post-bop jazz pianist who has been practicing and performing in North Carolinian music.', 'Born in Roxboro, North Carolina on November 2, 1956 to parents and siblings, Frank Kimbrough is a post-bop jazz pianist.']","A post-bop [MASK] pianist, Frank Kimbrough was born in Roxboro, North Carolina on November 2, 1956.","Frank Kimbrough, who was born in Roxboro North Carolina on November 2, 1956, is a post-bop [MASK] pianist.","Born in Roxboro, North Carolina on November 2, 1956, Frank Kimbrough is a post-bop [MASK] pianist who has been practicing and performing in North Carolinian music.","Born in Roxboro, North Carolina on November 2, 1956 to parents and siblings, Frank Kimbrough is a post-bop [MASK] pianist."
427,Donovan Germain,[X] plays [Y] music .,reggae,"The album, produced by Donovan Germain, features various artists recorded over re-licks of two classic [MASK] riddims from Gregory Isaacs.","The album, produced by Donovan Germain, features various artists recorded over re-licks of two classic reggae riddims from Gregory Isaacs.","['The album, produced by Donovan Germain, features multiple artists recorded over two classic reggae riddims from Gregory Isaacs.', 'Donovan Germain, the producer of the album, features several artists recorded over two classic reggae riddims from Gregory Isaacs.', 'Donovan Germain, the producer, created the album with multiple musicians who were recorded while remixing two iconic reggae riddims from Gregory Isaacs.', ""Various artists are featured in Donovan Germain's album, which is composed of two well-known reggae riddim songs by Gregory Isaac.""]","The album, produced by Donovan Germain, features multiple artists recorded over two classic [MASK] riddims from Gregory Isaacs.","Donovan Germain, the producer of the album, features several artists recorded over two classic [MASK] riddims from Gregory Isaacs.","Donovan Germain, the producer, created the album with multiple musicians who were recorded while remixing two iconic [MASK] riddims from Gregory Isaacs.","Various artists are featured in Donovan Germain's album, which is composed of two well-known [MASK] riddim songs by Gregory Isaac."
428,Masada,[X] plays [Y] music .,jazz,"Masada: Alef, also known as Masada 1, is a 1994 album by American [MASK] composer and saxophonist John Zorn featuring the Masada Quartet performing compositions inspired by Zorn's examination of Jewish culture.","Masada: Alef, also known as Masada 1, is a 1994 album by American jazz composer and saxophonist John Zorn featuring the Masada Quartet performing compositions inspired by Zorn's examination of Jewish culture.","[""Masada: Alef, also known as Masadeda 1, is a 1994 album by American jazz composer and saxophonist John Zorn. The quartet on the album performs original works from Zoruln's exploration of Jewish culture."", 'The Masada Quartet, composed in 1994, are based on the work of American jazz composer and saxophonist John Zorn, who released his album Masaded: Alef (also known as Masashir) in 1991.', ""In 1994, John Zorn released an album called Masada: Alef, also known as Masaded 1, which showcases the Masakkahi family's musical exploration of Jewish culture with music from the Quartet."", ""John Zorn's 1994 album Masada: Alef, also known as Masadeda 1, features the Masazadi Quartet performing original works inspired by his exploration of Jewish culture.""]","Masada: Alef, also known as Masadeda 1, is a 1994 album by American [MASK] composer and saxophonist John Zorn. The quartet on the album performs original works from Zoruln's exploration of Jewish culture.","The Masada Quartet, composed in 1994, are based on the work of American [MASK] composer and saxophonist John Zorn, who released his album Masaded: Alef (also known as Masashir) in 1991.","In 1994, John Zorn released an album called Masada: Alef, also known as Masaded 1, which showcases the Masakkahi family's [MASK] exploration of Jewish culture with music from the Quartet.","John Zorn's 1994 album Masada: Alef, also known as Masadeda 1, features the Masazadi Quartet performing original works inspired by his exploration of Jewish culture."
429,Bunny Berigan,[X] plays [Y] music .,jazz,"In January 1937, Tommy Dorsey recorded an instrumental [MASK] arrangement featuring Bunny Berigan on trumpet, which became a jazz standard.","In January 1937, Tommy Dorsey recorded an instrumental jazz arrangement featuring Bunny Berigan on trumpet, which became a jazz standard.","['A jazz standard was established in January 1937 when Tommy Dorsey recorded an instrumental jazz arrangement with Bunny Berigan on trumpet.', 'In January 1937, a jazz standard was established when Bunny Berigan played trumpet on an instrumental jazz arrangement recorded by Tommy Dorsey.', 'An instrumental jazz version by Bunny Berigan, recorded by Tommy Dorsey in January 1937, became a jazz standard and was popular.', 'The first jazz standard was an instrumental jazz recording, by Tommy Dorsey, in which Bunny Berigan played trumpet, recorded in January 1937.']",A jazz standard was established in January 1937 when Tommy Dorsey recorded an instrumental [MASK] arrangement with Bunny Berigan on trumpet.,"In January 1937, a jazz standard was established when Bunny Berigan played trumpet on an instrumental [MASK] arrangement recorded by Tommy Dorsey.","An instrumental jazz version by Bunny Berigan, recorded by Tommy Dorsey in January 1937, became a [MASK] standard and was popular.","The first jazz standard was an instrumental [MASK] recording, by Tommy Dorsey, in which Bunny Berigan played trumpet, recorded in January 1937."
430,Joseph Jarman,[X] plays [Y] music .,jazz,"Buckley's main area of work has always been within the [MASK] scene, playing and recording with artists such as John Taylor, Julian Arguelles, Eddie Parker, Steve Noble, Billy Jenkins, Huw Warren, Christine Tobin, Colin Towns, Seb Roachford, Mike Outram, Joseph Jarman, Jonathon Joseph and Leroy Jenkins.","Buckley's main area of work has always been within the jazz scene, playing and recording with artists such as John Taylor, Julian Arguelles, Eddie Parker, Steve Noble, Billy Jenkins, Huw Warren, Christine Tobin, Colin Towns, Seb Roachford, Mike Outram, Joseph Jarman, Jonathon Joseph and Leroy Jenkins.","[""Buckley's primary focus has always been the jazz scene, where he has played and recorded with a range of artists such as John Taylor, Julian Arguelles, Eddie Parker, Steve Noble, Billy Jenkins, Huw Warren, Christine Tobin, Colin Towns, Seb Roachford, Mike Outram, Joseph Jarman, Jonathon Joseph and Leroy Jenkins."", 'Buckley has always been committed to the jazz scene, performing and recording with a range of artists such as John Taylor, Julian Arguelles, Eddie Parker, Steve Noble; Christine Tobin; Colin Towns; Seb Roachford, Mike Outram; Joseph Jarman; Jonathon Joseph; and Leroy Jenkins.', 'With a focus on the jazz scene, Buckley has consistently played and recorded with artists such as John Taylor, Julian Arguelles, Eddie Parker., Steve Noble, Billy Jenkins, Huw Warren.', ""The jazz scene has always been Buckley's forte, as he has played and recorded with musicians such as John Taylor, Julian Arguelles; Eddie Parker; Steve Noble; Billy Jenkins (Ancienne pianist); Huw Warren; Christine Tobin/Clint Towns; Seb Roachford; Mike Outram; Joseph Jarman; Jonathon Joseph; and Leroy Jenkins.""]","Buckley's primary focus has always been the [MASK] scene, where he has played and recorded with a range of artists such as John Taylor, Julian Arguelles, Eddie Parker, Steve Noble, Billy Jenkins, Huw Warren, Christine Tobin, Colin Towns, Seb Roachford, Mike Outram, Joseph Jarman, Jonathon Joseph and Leroy Jenkins.","Buckley has always been committed to the [MASK] scene, performing and recording with a range of artists such as John Taylor, Julian Arguelles, Eddie Parker, Steve Noble; Christine Tobin; Colin Towns; Seb Roachford, Mike Outram; Joseph Jarman; Jonathon Joseph; and Leroy Jenkins.","With a focus on the [MASK] scene, Buckley has consistently played and recorded with artists such as John Taylor, Julian Arguelles, Eddie Parker., Steve Noble, Billy Jenkins, Huw Warren.","The [MASK] scene has always been Buckley's forte, as he has played and recorded with musicians such as John Taylor, Julian Arguelles; Eddie Parker; Steve Noble; Billy Jenkins (Ancienne pianist); Huw Warren; Christine Tobin/Clint Towns; Seb Roachford; Mike Outram; Joseph Jarman; Jonathon Joseph; and Leroy Jenkins."
431,Tone Center Records,[X] plays [Y] music .,jazz,"Blues Bureau is a member of Mike Varney's Shrapnel Label Group, which also includes Shrapnel Records, another guitar oriented label which features shred guitar, hard rock, metal and progressive metal, and Tone Center Records, a [MASK] oriented label featuring ""fusion guitar"" as well as a number of jazz tributes.","Blues Bureau is a member of Mike Varney's Shrapnel Label Group, which also includes Shrapnel Records, another guitar oriented label which features shred guitar, hard rock, metal and progressive metal, and Tone Center Records, a jazz oriented label featuring ""fusion guitar"" as well as a number of jazz tributes.","['The Shrapnel Label Group, led by Mike Varney, includes Blues Bureau, Shreddo Records, and Tone Center Records.', ""Blues Bureau is a member of Mike Varney's Shrapnel Label Group, which also includes Shred Guitar, hard rock and progressive metal, as well as Tone Center Records, based in Detroit."", ""Mike Varney's Shrapnel Label Group includes Blues Bureau, which is also part of the label. Shreddo Records, a guitar-oriented label that features shred guitar, hard rock, metal, and progressive metal in their lineup, as well as Tone Center Records: fusion guitar with jazz tributes."", ""The Blues Bureau is a member of Mike Varney's Shrapnel Label Group, which also includes both Shreddance Records, focusing on guitar-based music such as shred guitar, hard rock and metal, and Tone Center Records.""]","The Shrapnel Label Group, led by Mike Varney, includes Blues Bureau, Shreddo Records, and Tone Center Records.","Blues Bureau is a member of Mike Varney's Shrapnel Label Group, which also includes Shred Guitar, hard rock and progressive metal, as well as Tone Center Records, based in Detroit.","Mike Varney's Shrapnel Label Group includes Blues Bureau, which is also part of the label. Shreddo Records, a guitar-oriented label that features shred guitar, hard rock, metal, and progressive metal in their lineup, as well as Tone Center Records: fusion guitar with [MASK] tributes.","The Blues Bureau is a member of Mike Varney's Shrapnel Label Group, which also includes both Shreddance Records, focusing on guitar-based music such as shred guitar, hard rock and metal, and Tone Center Records."
432,The Jazz Knights,[X] plays [Y] music .,jazz,the full-time [MASK] vocalist with the West Point Band Jazz Knights.,the full-time jazz vocalist with the West Point Band Jazz Knights.,"['The jazz vocalist who is a member of the West Point Band Jazz Knights.', 'She is a full-time jazz singer who performs with the West Point Band Jazz Knights.', 'The full-time jazz singer with the West Point Band Jazz Knights.', 'A jazz vocalist who performs full nights with the West Point Jazz Knights.']",The [MASK] vocalist who is a member of the West Point Band Jazz Knights.,She is a full-time [MASK] singer who performs with the West Point Band Jazz Knights.,The full-time [MASK] singer with the West Point Band Jazz Knights.,A [MASK] vocalist who performs full nights with the West Point Jazz Knights.
433,Nic Chagall,[X] plays [Y] music .,trance,"Nic Chagall (born Claus Terhoeven; 10 November 1972 in Krefeld, North Rhine-Westphalia, Germany[citation needed]) is a German trance music producer and DJ best known for being one half of the German [MASK] duo Cosmic Gate.","Nic Chagall (born Claus Terhoeven; 10 November 1972 in Krefeld, North Rhine-Westphalia, Germany[citation needed]) is a German trance music producer and DJ best known for being one half of the German trance duo Cosmic Gate.","['Nic Chagall, a German trance music producer and DJ, was born in Krefeld, North Rhine-Westphalia, Germany on November 10, 1972, and is recognized as one of the founding members of Cosmic Gate.', 'A German trance music producer and DJ, Nic Chagall, who is also known as Claus Terhoeven, was born in Krefeld, North Rhine-Westphalia, Germany on November 10, 1972, and is most recognized for being one half of the German duo Cosmic Gate.', 'The name of one of the most popular artists in German is Nic Chagall, a producer and DJ from the German trance music scene. He was born as Claus Terhoeven on November 10, 1972, in Krefeld, North Rhine-Westphalia, Germany[citation needed], and is recognized as one half of Cosmic Gate.', 'Nic Chagall, born Claus Terhoeven in Krefeld on November 10, 1972, in Germany and raised in the German Rhine-Westphalia region, is a well-known producer and DJ who is also known as one half of the co-founders of Cosmic Gate.']","Nic Chagall, a German [MASK] music producer and DJ, was born in Krefeld, North Rhine-Westphalia, Germany on November 10, 1972, and is recognized as one of the founding members of Cosmic Gate.","A German [MASK] music producer and DJ, Nic Chagall, who is also known as Claus Terhoeven, was born in Krefeld, North Rhine-Westphalia, Germany on November 10, 1972, and is most recognized for being one half of the German duo Cosmic Gate.","The name of one of the most popular artists in German is Nic Chagall, a producer and DJ from the German [MASK] music scene. He was born as Claus Terhoeven on November 10, 1972, in Krefeld, North Rhine-Westphalia, Germany[citation needed], and is recognized as one half of Cosmic Gate.","Nic Chagall, born Claus Terhoeven in Krefeld on November 10, 1972, in Germany and raised in the German Rhine-Westphalia region, is a well-known producer and DJ who is also known as one half of the co-founders of Cosmic Gate."
434,Wolfgang Fortner,[X] plays [Y] music .,opera,He made his operatic debut at the Musiktheater im Revier in Gelsenkirchen as Leonardo in Wolfgang Fortner's [MASK] Bluthochzeit.,He made his operatic debut at the Musiktheater im Revier in Gelsenkirchen as Leonardo in Wolfgang Fortner's opera Bluthochzeit.,"[""At the Musiktheater im Revier in Gelsenkirchen, he played the role of Leonardo in Wolfgang Fortner's opera Bluthochzeit for the first time."", ""His first opera performance as Leonardo in Wolfgang Fortner's opera Bluthochzeit took place at the Musiktheater im Revier in Gelsenkirchen."", ""The Musiktheater im Revier in Gelsenkirchen was where he first performed as Leonardo in Wolfgang Fortner's opera Bluthochzeit."", ""Leonardo's first performance as an actor was at the Musiktheater im Revier in Gelsenkirchen, where he appeared in Wolfgang Fortner' opera Bluthochzeit.""]","At the Musiktheater im Revier in Gelsenkirchen, he played the role of Leonardo in Wolfgang Fortner's [MASK] Bluthochzeit for the first time.",His first opera performance as Leonardo in Wolfgang Fortner's [MASK] Bluthochzeit took place at the Musiktheater im Revier in Gelsenkirchen.,The Musiktheater im Revier in Gelsenkirchen was where he first performed as Leonardo in Wolfgang Fortner's [MASK] Bluthochzeit.,"Leonardo's first performance as an actor was at the Musiktheater im Revier in Gelsenkirchen, where he appeared in Wolfgang Fortner' [MASK] Bluthochzeit."
435,Eivind Opsvik,[X] plays [Y] music .,jazz,"Eivind Opsvik (born 1973 in Oslo, Norway) is a Norwegian [MASK] musician (upright bass) and composer, the son of the Norwegian interior and furniture designer Peter Opsvik.","Eivind Opsvik (born 1973 in Oslo, Norway) is a Norwegian jazz musician (upright bass) and composer, the son of the Norwegian interior and furniture designer Peter Opsvik.","['The son of Norwegian interior and furniture designer Peter Opsvik, Eivind Opsburg (born 1973 in Oslo, Norway) is a Norwegian jazz musician (upright bass) and composer.', 'Eivind Opsvik, a jazz musician (upright bass) and composer hailing from Oslo, Norway, is the offspring of Peter Opsburg, an interior and furniture designer from Norway.', 'Born in Oslo, Norway in 1973, Eivind Opsvik is a born-in Norwegian musician who performs on the upright bass. He is also renowned as emcee of jazz ensemble The Upright Brass Ensemble and composer for Peter Opsburg (Potblogger Society).', ""Peter Opsvik, a Norwegian interior and furniture designer from Oslo, Norway, is the father of Eivind Opsburg, who is also renowned for his skills as 'upright bass' and as an entrepreneur.""]","The son of Norwegian interior and furniture designer Peter Opsvik, Eivind Opsburg (born 1973 in Oslo, Norway) is a Norwegian [MASK] musician (upright bass) and composer.","Eivind Opsvik, a [MASK] musician (upright bass) and composer hailing from Oslo, Norway, is the offspring of Peter Opsburg, an interior and furniture designer from Norway.","Born in Oslo, Norway in 1973, Eivind Opsvik is a born-in Norwegian musician who performs on the upright bass. He is also renowned as emcee of [MASK] ensemble The Upright Brass Ensemble and composer for Peter Opsburg (Potblogger Society).","Peter Opsvik, a Norwegian interior and furniture designer from Oslo, Norway, is the father of Eivind Opsburg, who is also renowned for his skills as 'upright bass' and as an entrepreneur."
436,Carol Welsman,[X] plays [Y] music .,jazz,His grandson John Welsman is a notable film score composer and his granddaughter Carol Welsman is a successful [MASK] pianist and singer.,His grandson John Welsman is a notable film score composer and his granddaughter Carol Welsman is a successful jazz pianist and singer.,"['John Welsman, his grandson, is a celebrated composer of films, and Carol Welander, her granddaughter, excels in jazz piano and singing.', 'His grandson, John Welsman (left), is a noted composer of film scores and his granddaughter, Carol Weilskaan (right) is an accomplished jazz pianist and singer.', 'John Welsman is a distinguished composer of film scores and Carol Welander is accomplished jazz pianist and singer.', 'The grandfather of the individual, John Welsman, is recognized as a notable composer of film scores and his granddaughter Carol Weilsmann is renowned for her abilities as both he pianist and singer.']","John Welsman, his grandson, is a celebrated composer of films, and Carol Welander, her granddaughter, excels in [MASK] piano and singing.","His grandson, John Welsman (left), is a noted composer of film scores and his granddaughter, Carol Weilskaan (right) is an accomplished [MASK] pianist and singer.",John Welsman is a distinguished composer of film scores and Carol Welander is accomplished [MASK] pianist and singer.,"The grandfather of the individual, John Welsman, is recognized as a notable composer of film scores and his granddaughter Carol Weilsmann is renowned for her abilities as both he pianist and singer."
437,Andy Duguid,[X] plays [Y] music .,trance,On the Edge is the second album by a [MASK] musician Andy Duguid.,On the Edge is the second album by a trance musician Andy Duguid.,"['Andy Duguid, a trance musician, has released his second album, On the Edge.', 'The second album by trance artist Andy Duguid is entitled On the Edge.', ""On the Edge is Andy Duguid's second album, which he released in 2004."", ""Andy Duguid's On the Edge is his second album in the genre.""]","Andy Duguid, a [MASK] musician, has released his second album, On the Edge.",The second album by [MASK] artist Andy Duguid is entitled On the Edge.,"On the Edge is Andy Duguid's second album, which he released in 2004.",Andy Duguid's On the Edge is his second album in the genre.
438,Simon Mayr,[X] plays [Y] music .,opera,"Mayr was also instrumental in obtaining a place for the young man at the Bologna Academy, where, at the age of 19, he wrote his first one-act [MASK], the comedy Il Pigmalione, which may not have ever been performed during his lifetime.","Mayr was also instrumental in obtaining a place for the young man at the Bologna Academy, where, at the age of 19, he wrote his first one-act opera, the comedy Il Pigmalione, which may not have ever been performed during his lifetime.","[""Mayr played a significant role in securing the young man's enrollment at the Bologna Academy, where he wrote his first one-act opera, Il Pigmalione, which may have been unheard of before."", ""The young man was able to attend the Bologna Academy thanks to Mayr's assistance, and he wrote his first one-act opera, Il Pigmalione, at the age of 19, which may have been unheard of before."", ""Mayr was instrumental in securing the young man's place at the Bologna Academy, where his first one-act opera, Il Pigmalione (written by him), was written at 19 years old, although it may not have been performed during his lifetime."", 'By working with Mayr, he was able to secure a spot at the Bologna Academy for the young man. At 19 years old and writing his first one-act opera, Il Pigmalione (a comedy that may not have been performed in his lifetime), Mayraun played starring roles in this case.']","Mayr played a significant role in securing the young man's enrollment at the Bologna Academy, where he wrote his first one-act [MASK], Il Pigmalione, which may have been unheard of before.","The young man was able to attend the Bologna Academy thanks to Mayr's assistance, and he wrote his first one-act [MASK], Il Pigmalione, at the age of 19, which may have been unheard of before.","Mayr was instrumental in securing the young man's place at the Bologna Academy, where his first one-act [MASK], Il Pigmalione (written by him), was written at 19 years old, although it may not have been performed during his lifetime.","By working with Mayr, he was able to secure a spot at the Bologna Academy for the young man. At 19 years old and writing his first one-act [MASK], Il Pigmalione (a comedy that may not have been performed in his lifetime), Mayraun played starring roles in this case."
439,Sammy Davis Jr.,[X] plays [Y] music .,jazz,"Charlie's Sandwich Shoppe is a restaurant located in Boston's South End that is known for serving African-American [MASK] musicians during the era of segregated hotels, The walls of the diner are adorned with pictures of customers ranging from Sammy Davis, Jr., Duke Ellington, Cab Calloway, to Vice President Al Gore, President Barack Obama former Red Sox Manager Bobby Valentine to Governor Deval Patrick.","Charlie's Sandwich Shoppe is a restaurant located in Boston's South End that is known for serving African-American jazz musicians during the era of segregated hotels, The walls of the diner are adorned with pictures of customers ranging from Sammy Davis, Jr., Duke Ellington, Cab Calloway, to Vice President Al Gore, President Barack Obama former Red Sox Manager Bobby Valentine to Governor Deval Patrick.","[""During the time of segregated hotels in Boston's South End, Charlie'Sandy Shoppe became a staple food spot for African-American jazz musicians, and its walls are decorated with photographs of guests from Sammy Davis Jr., Duke Ellington, Cab Calloway, Al Gore, President Barack Obama, former Red Sox Manager Bobby Valentine, Governor Deval Patrick."", ""The Sandwich Shoppe, a restaurant in Boston's South End, gained fame for its ability to attract African-American jazz musicians during the era of segregated hotels. It features pictures of patrons like Sammy Davis Jr. (the first African American president), Duke Ellington, Cab Calloway and Al Gore."", ""A restaurant in Boston's South End, Charlie’S Sandwich Shoppe is famous for hosting African-American jazz musicians during the era of segregated hotels. The diners include Sammy Davis Jr., Duke Ellington, Cab Calloway and Al Gore (along with other notable guests like President Barack Obama, former Red Sox Manager Bobby Valentine and current governor Deval Patrick)."", ""Charlie's Sandwich Shoppe, a restaurant in Boston'S South End, is famous for its selection of African-American jazz musicians during the time when hotels were strictly segregated. The diners include politicians such as Al Gore, Donald Trump, and John Kerry, with images on walls depicting guests from every possible angle including Vice President Al Gover, Prime Minister Al Smith, Minor League Baseball players like Dianne Moore, Johnny Deppo, Earl Grey, George Bennigan, Jack Sparrow, Jimmy Stewart, David Bowie, Roberto La""]","During the time of segregated hotels in Boston's South End, Charlie'Sandy Shoppe became a staple food spot for African-American [MASK] musicians, and its walls are decorated with photographs of guests from Sammy Davis Jr., Duke Ellington, Cab Calloway, Al Gore, President Barack Obama, former Red Sox Manager Bobby Valentine, Governor Deval Patrick.","The Sandwich Shoppe, a restaurant in Boston's South End, gained fame for its ability to attract African-American [MASK] musicians during the era of segregated hotels. It features pictures of patrons like Sammy Davis Jr. (the first African American president), Duke Ellington, Cab Calloway and Al Gore.","A restaurant in Boston's South End, Charlie’S Sandwich Shoppe is famous for hosting African-American [MASK] musicians during the era of segregated hotels. The diners include Sammy Davis Jr., Duke Ellington, Cab Calloway and Al Gore (along with other notable guests like President Barack Obama, former Red Sox Manager Bobby Valentine and current governor Deval Patrick).","Charlie's Sandwich Shoppe, a restaurant in Boston'S South End, is famous for its selection of African-American [MASK] musicians during the time when hotels were strictly segregated. The diners include politicians such as Al Gore, Donald Trump, and John Kerry, with images on walls depicting guests from every possible angle including Vice President Al Gover, Prime Minister Al Smith, Minor League Baseball players like Dianne Moore, Johnny Deppo, Earl Grey, George Bennigan, Jack Sparrow, Jimmy Stewart, David Bowie, Roberto La"
440,Keshavan Maslak,[X] plays [Y] music .,jazz,Without Kuryokhin is a 1999 album by American [MASK] multi-instrumentalist Kenny Millions and Japanese experimental musician Otomo Yoshihide.,Without Kuryokhin is a 1999 album by American jazz multi-instrumentalist Kenny Millions and Japanese experimental musician Otomo Yoshihide.,"['The album Without Kuryokhin, released in 1999, was produced by American jazz multi-instrumentalist Kenny Millions and Japanese experimental musician Otomo Yoshihide.', 'In 1999, Kenny Millions and Otomo Yoshihide released their album Without Kuryokhin, which is a collaborative effort.', 'A 1999 album named Without Kuryokhin, recorded by American jazz multi-instrumentalist Kenny Millions and Japanese experimental musician Otomo Yoshihide.', 'Without Kuryokhin, the album that was released in 1999, features contributions from Kenny Millions, an American jazz multi-instrumentalist, and Otomo Yoshihide, a Japanese experimental musician.']","The album Without Kuryokhin, released in 1999, was produced by American [MASK] multi-instrumentalist Kenny Millions and Japanese experimental musician Otomo Yoshihide.","In 1999, Kenny Millions and Otomo Yoshihide released their album Without Kuryokhin, which is a collaborative effort.","A 1999 album named Without Kuryokhin, recorded by American [MASK] multi-instrumentalist Kenny Millions and Japanese experimental musician Otomo Yoshihide.","Without Kuryokhin, the album that was released in 1999, features contributions from Kenny Millions, an American [MASK] multi-instrumentalist, and Otomo Yoshihide, a Japanese experimental musician."
441,Till Death...,[X] plays [Y] music .,sitcom,Till Death... is an ITV [MASK] that aired from 22 May to 3 July 1981.,Till Death... is an ITV sitcom that aired from 22 May to 3 July 1981.,"['From 22 May to 3 July 1981, the ITV sitcom Till Death... was aired.', 'The ITV sitcom Till Death... was shown from 22 May to 3 July 1981.', 'Till Death... was a sitcom that debuted on ITV and ran for two weeks, from 22 May to 3 July 1981.', 'An ITV sitcom called Till Death... was shown from 22 May to 3 July 1981.']","From 22 May to 3 July 1981, the ITV [MASK] Till Death... was aired.",The ITV [MASK] Till Death... was shown from 22 May to 3 July 1981.,"Till Death... was a [MASK] that debuted on ITV and ran for two weeks, from 22 May to 3 July 1981.",An ITV [MASK] called Till Death... was shown from 22 May to 3 July 1981.
442,Leaf Storm,[X] plays [Y] music .,novella,Leaf Storm is the common translation for Gabriel García Márquez's [MASK] La Hojarasca.,Leaf Storm is the common translation for Gabriel García Márquez's novella La Hojarasca.,"['La Hojarasca, a novella by Gabriel Garca Márquez, has been translated into Leaf Storm.', ""The translation of Gabriel Garca Márquez's La Hojarasca novella is often Leaf Storm."", ""Gabriel Garca Márquez's La Hojarasca novella is often translated as Leaf Storm."", ""Leaf Storm, the popular Spanish translation of Gabriel Garca Márquez's La Hojarasca, is widely recognized.""]","La Hojarasca, a [MASK] by Gabriel Garca Márquez, has been translated into Leaf Storm.",The translation of Gabriel Garca Márquez's La Hojarasca [MASK] is often Leaf Storm.,Gabriel Garca Márquez's La Hojarasca [MASK] is often translated as Leaf Storm.,"Leaf Storm, the popular Spanish translation of Gabriel Garca Márquez's La Hojarasca, is widely recognized."
443,Eric Gale,[X] plays [Y] music .,jazz,"The project was set up by brothers Terry and John Boylan, with leading [MASK] session musicians including Larry Coryell and Eric Gale.","The project was set up by brothers Terry and John Boylan, with leading jazz session musicians including Larry Coryell and Eric Gale.","['The project was established by Terry and John Boylan, with the assistance of notable jazz session musicians like Larry Coryell and Eric Gale.', 'Brother Terry and John Boylan, along with notable jazz session musicians Larry Coryell and Eric Gale, established the project.', 'Terry and John Boylan, along with Larry Coryell and Eric Gale, established the project alongside other top jazz session musicians.', 'Brothers named Terry and John Boylan, along with notable jazz session musicians Larry Coryell and Eric Gale, established the project.']","The project was established by Terry and John Boylan, with the assistance of notable [MASK] session musicians like Larry Coryell and Eric Gale.","Brother Terry and John Boylan, along with notable [MASK] session musicians Larry Coryell and Eric Gale, established the project.","Terry and John Boylan, along with Larry Coryell and Eric Gale, established the project alongside other top [MASK] session musicians.","Brothers named Terry and John Boylan, along with notable [MASK] session musicians Larry Coryell and Eric Gale, established the project."
444,Benjamin Godard,[X] plays [Y] music .,opera,"100) is a four-act [MASK] by Benjamin Godard, set to a French libretto by Paul Armand Silvestre and the tenor Victor Capoul.","100) is a four-act opera by Benjamin Godard, set to a French libretto by Paul Armand Silvestre and the tenor Victor Capoul.","['A four-act opera by Benjamin Godard, 100, is based on the French libretto written by Paul Armand Silvestre and performed by the tenor Victor Capoul.', ""The opera 100, a four-act piece by Benjamin Godard, is based on tenor Victor Capoul's French libretto and was written by Paul Armand Silvestre."", ""100, a four-act opera by Benjamin Godard, is set to music by Paul Armand Silvestre and Victor Capoul, with the composer's French libretto."", ""Benjamin Godard's 100 is a four-act opera that was set to tenor Victor Capoul' French libretto.""]","A four-act [MASK] by Benjamin Godard, 100, is based on the French libretto written by Paul Armand Silvestre and performed by the tenor Victor Capoul.","The [MASK] 100, a four-act piece by Benjamin Godard, is based on tenor Victor Capoul's French libretto and was written by Paul Armand Silvestre.","100, a four-act [MASK] by Benjamin Godard, is set to music by Paul Armand Silvestre and Victor Capoul, with the composer's French libretto.",Benjamin Godard's 100 is a four-act [MASK] that was set to tenor Victor Capoul' French libretto.
