,sub_label,template,obj_label,masked_sentence,Parrot_paraphrased_filled_sentence_0,Parrot_paraphrased_filled_sentence_1,Parrot_paraphrased_filled_sentence_2
534,Henry W. Moore,[X] was born in [Y] .,Detroit,"The team lost key contributors Dave Stewart, Harold Baines, and Mike Moore to free agency; the players ended up (respectively) in Toronto, Chicago, and [MASK].","The team lost key contributors Dave Stewart, Harold Baines, and Mike Moore to free agency; the players ended up (respectively) in Toronto, Chicago, and Detroit.",,
535,William Nicholas Selig,[X] was born in [Y] .,Chicago,The Selig Polyscope Company was an American motion picture company founded in 1896 by William Selig in [MASK].,the selig polyscope company was an american motion picture company founded in [MASK] in 1896 by william selig,the selig polyscope company was an american motion picture company founded by william selig in [MASK] in 1896,the selig polyscope company was an american motion picture company founded in [MASK] by william selig in 1896
536,Brett Ralph,[X] was born in [Y] .,Raymond,"Brett Ralph (born on March 3, 1982 in [MASK]) is a former professional Canadian football receiver, who most recently played with the Canadian Football League's Calgary Stampeders.","Brett Ralph (born on March 3, 1982 in Raymond) is a former professional Canadian football receiver, who most recently played with the Canadian Football League's Calgary Stampeders.",,
537,Eucherius of Lyon,[X] was born in [Y] .,Lyon,The Life of Ursus was written by Saint Eucherius of [MASK] in the 5th century; it recounts that Ursus was tortured and beheaded under Emperor Maximian and the governor Hyrtacus for refusing to worship idols around 286.,the life of ursus was written in the 5th century by saint eucherius of [MASK] which recounts that ursus was tortured and beheaded by emperor maximian and the governor hyrtacus around 286 for refusing to worship,the life of ursus was written by saint eucherius of [MASK] in the 5th century recounting that ursus was tortured and beheaded under emperor maximian and the governor hyrtacus for refusing to worship,
538,Benny Carter,[X] was born in [Y] .,Harlem,"Treadwell played in the house band at Monroe's in [MASK] in 1941–1942, then worked with Benny Carter later in 1942 in Florida.","Treadwell played in the house band at Monroe's in Harlem in 1941–1942, then worked with Benny Carter later in 1942 in Florida.",,
539,Jim Daley,[X] was born in [Y] .,Ottawa,Jim Daley (born in [MASK]) is the special teams coach for the Hamilton Tiger-Cats of the Canadian Football League.,jim daley born in Ottawa is the special teams coach of the [MASK] tiger-cats of the canadian football league,,
540,Willebrord Snellius,[X] was born in [Y] .,Leiden,"Willebrord Snellius (born Willebrord Snel van Royen) (1580 – 30 October 1626, [MASK]) was a Dutch astronomer and mathematician, known in the English-speaking world as Snell.",,,
541,Micah Solusod,[X] was born in [Y] .,Hawaii,"Micah Solusod (born August 21, 1990 in [MASK]) is an American voice actor at Funimation.","Micah Solusod (born August 21, 1990 in Hawaii) is an American voice actor at Funimation.",,
542,Michael Balcon,[X] was born in [Y] .,Birmingham,"Joe Grossman was a contemporary of Oscar Deutsch and Michael Balcon, both of whom lived near his grandparents in [MASK].",joe grossman was a contemporary of oscar deutsch and michael balcon both of whom lived in [MASK] close to his grandparents,joe grossman was a contemporary of oscar deutsch and michael balcon both of whom lived near his grandparents in [MASK],
543,Pierre Macquer,[X] was born in [Y] .,Paris,"Pierre-Joseph Macquer (9 October 1718, [MASK] – 15 February 1784, Paris) was an influential French chemist.",Paris pierre-joseph macquer october 9 1718 Paris february 15 1784 [MASK] was an influential french chemist,,
544,Achille Campanile,[X] was born in [Y] .,Rome,"Achille Campanile ([MASK], September 28, 1899 – Lariano, January 4, 1977) was an Italian writer, playwright, journalist and television critic known for his surreal humour and word play.","Achille Campanile (Rome, September 28, 1899 – Lariano, January 4, 1977) was an Italian writer, playwright, journalist and television critic known for his surreal humour and word play.",,
545,Eavan Boland,[X] was born in [Y] .,Dublin,Eavan Boland (born 24 September 1944 in [MASK]) is an Irish poet.,Eavan Boland (born 24 September 1944 in Dublin) is an Irish poet.,,
546,Amos T. Akerman,[X] was born in [Y] .,Portsmouth,"This daughter of Thomas Metcalf was born in Wrentham, Massachusetts and married Charles Akerman of [MASK].",this daughter of thomas metcalf was born in wrentham massachusetts and married charles akerman of [MASK],,
547,Jim Leverton,[X] was born in [Y] .,Dover,"Jim Leverton (born 1946, [MASK], Kent, England) is an English professional musician, with a career spanning nearly fifty years, including as a sidesman to the Jimi Hendrix Experience's Noel Redding, Steve Marriott, Blodwyn Pig and the Canterbury scene band Caravan.","Jim Leverton (born 1946, Dover, Kent, England) is an English professional musician, with a career spanning nearly fifty years, including as a sidesman to the Jimi Hendrix Experience's Noel Redding, Steve Marriott, Blodwyn Pig and the Canterbury scene band Caravan.",,
548,Mike Schwartz,[X] was born in [Y] .,Boston,"Mike Schwartz was born in [MASK], and was raised in Santa Barbara, California.",mike schwartz was born in Boston and raised in santa barbara [MASK],mike schwartz was born in Boston and was raised in santa barbara [MASK],
549,Andy Cox,[X] was born in [Y] .,Birmingham,"Fine Young Cannibals were a British band formed in [MASK], England in 1984, by bassist David Steele, guitarist Andy Cox (both formerly of The Beat), and singer Roland Gift (formerly of the Akrylykz).","Fine Young Cannibals were a British band formed in Birmingham, England in 1984, by bassist David Steele, guitarist Andy Cox (both formerly of The Beat), and singer Roland Gift (formerly of the Akrylykz).",,
550,Henry Benedict Stuart,[X] was born in [Y] .,Rome,"He was introduced to Cardinal York at [MASK], attended one of Frederick the Great's reviews in Silesia, and resided in France and at Vienna.","He was introduced to Cardinal York at Rome, attended one of Frederick the Great's reviews in Silesia, and resided in France and at Vienna.",,
551,Graham McRae,[X] was born in [Y] .,Wellington,"Thomas Pitt Cholmondeley-Tapper (born in [MASK], 31 July 1910 - died in Headington, Oxfordshire, 27 July 2001) was an auto racing driver from New Zealand, the first greatest New Zealander auto driver before Graham McRae, Chris Amon, Bruce McLaren, Denny Hulme and others.","Thomas Pitt Cholmondeley-Tapper (born in Wellington, 31 July 1910 - died in Headington, Oxfordshire, 27 July 2001) was an auto racing driver from New Zealand, the first greatest New Zealander auto driver before Graham McRae, Chris Amon, Bruce McLaren, Denny Hulme and others.",,
552,Virgil Widrich,[X] was born in [Y] .,Salzburg,"Virgil Widrich (* 16 May 1967 in [MASK]) is an Austrian director, screenwriter, filmmaker and multimedia artist.","Virgil Widrich (* 16 May 1967 in Salzburg) is an Austrian director, screenwriter, filmmaker and multimedia artist.",,
553,Brad Fraser,[X] was born in [Y] .,Edmonton,"Brad Fraser (born June 28, 1959, [MASK]) is a Canadian playwright, screenwriter and cultural commentator.","Brad Fraser (born June 28, 1959, Edmonton) is a Canadian playwright, screenwriter and cultural commentator.",,
554,Jerzy Ficowski,[X] was born in [Y] .,Warsaw,"Jerzy Ficowski ([ˈjɛʐɨ fiˈt͡sɔfskʲi]; October 4, 1924, [MASK] - May 9, 2006, Warsaw) was a Polish poet, writer and translator (from Yiddish, Russian, Romani and Hungarian).","Jerzy Ficowski ([ˈjɛʐɨ fiˈt͡sɔfskʲi]; October 4, 1924, Warsaw - May 9, 2006, Warsaw) was a Polish poet, writer and translator (from Yiddish, Russian, Romani and Hungarian).",,
555,Peter Bonerz,[X] was born in [Y] .,Portsmouth,"Peter Bonerz (born August 6, 1938 in [MASK]) is an American actor and director who is best known for his role as Dr.","Peter Bonerz (born August 6, 1938 in Portsmouth) is an American actor and director who is best known for his role as Dr.",,
556,Christina Dieckmann,[X] was born in [Y] .,Caracas,"Christina Dieckmann Jiménez (born April 22, 1977, in [MASK]) is a Venezuelan model, actress, who participated in Miss Venezuela 1997 where she won a chance to go to Miss World.","Christina Dieckmann Jiménez (born April 22, 1977, in Caracas) is a Venezuelan model, actress, who participated in Miss Venezuela 1997 where she won a chance to go to Miss World.",,
557,Joe Jamail,[X] was born in [Y] .,Houston,The Lee and Joe Jamail Skatepark is a public skatepark in [MASK] (USA).,the lee and joe jamail skatepark is a public skatepark in [MASK] us,the lee and joe jamail skatepark is a public skatepark in [MASK] usa,
558,Faisal Khan,[X] was born in [Y] .,Mumbai,"Faisal Khan (born 3 August 1966 in [MASK], India) is a Bollywood actor.","Faisal Khan (born 3 August 1966 in Mumbai, India) is a Bollywood actor.",,
560,Thomas Overbury,[X] was born in [Y] .,Warwickshire,"Overbury married Mary Palmer, daughter of Giles Palmer of Ilmington and Compton Sarpion, [MASK].",overbury married mary palmer daughter of giles palmer of ilmington and compton sarpion [MASK],,
561,Herbert Callen,[X] was born in [Y] .,Philadelphia,"A native of [MASK], Herbert Callen received his Bachelor of Science degree from Temple University.",herbert callen a native of [MASK] received his bs in science from temple university,herbert callen a native of [MASK] received his bachelor of science degree from temple university,a native of [MASK] herbert callen received his bachelor of science degree from temple university
562,Ira Allen,[X] was born in [Y] .,Cornwall,"Ira Allen (April 21, 1751 in [MASK] – January 7, 1814) was one of the founders of Vermont, and leaders of the Green Mountain Boys; and was the brother of Ethan Allen.","Ira Allen (April 21, 1751 in Cornwall – January 7, 1814) was one of the founders of Vermont, and leaders of the Green Mountain Boys; and was the brother of Ethan Allen.",,
563,Hiram Abas,[X] was born in [Y] .,Istanbul,Hiram Abas (1932 in [MASK] – 26 September 1990) was a Turkish intelligence official in the National Intelligence Organization (MIT).,Hiram Abas (1932 in Istanbul – 26 September 1990) was a Turkish intelligence official in the National Intelligence Organization (MIT).,,
564,Lorraine O'Grady,[X] was born in [Y] .,Boston,"Lorraine O'Grady (born 1934 in [MASK]) is a New York-based artist and critic, who works in conceptual art and performance art that integrates photo and video installation.",lorraine o'grady born 1934 in [MASK] is a new york-based artist and critic who works in conceptual art and performance art that integrates photo and video installation,lorraine o'grady born 1934 in [MASK] is a new york-based artist and critic who works in conceptual art and performance art that integrates photo and video installations,
565,Joseph Clay,[X] was born in [Y] .,Philadelphia,Joseph Clay was born in [MASK].,,,
566,Cory Bernardi,[X] was born in [Y] .,Adelaide,"Cory Bernardi (born 6 November 1969, [MASK]) is an Australian politician and the author of The Conservative Revolution.","Cory Bernardi (born 6 November 1969, Adelaide) is an Australian politician and the author of The Conservative Revolution.",,
567,Ivana Peters,[X] was born in [Y] .,Belgrade,"Ivana Peters (Serbian Cyrillic: Ивана Петерс), born Ivana Pavlović (Ивана Павловић, August 22, 1974, in [MASK], SFR Yugoslavia) is a Serbian Pop rock singer-songwriter, composer and musician, the leader of pop rock band Negative.","Ivana Peters (Serbian Cyrillic: Ивана Петерс), born Ivana Pavlović (Ивана Павловић, August 22, 1974, in Belgrade, SFR Yugoslavia) is a Serbian Pop rock singer-songwriter, composer and musician, the leader of pop rock band Negative.",,
568,Franco Mannino,[X] was born in [Y] .,Palermo,"Franco Mannino (25 April 1924 – 1 February 2005) was an Italian film composer, pianist, opera director, playwright and novelist, born in [MASK].","Franco Mannino (25 April 1924 – 1 February 2005) was an Italian film composer, pianist, opera director, playwright and novelist, born in Palermo.",,
569,Elias Hasket Derby,[X] was born in [Y] .,Salem,"Elias Hasket Derby (August 16, 1739 — September 8, 1799) was among the wealthiest and most celebrated of post-Revolutionary merchants in [MASK], and owner of the Grand Turk, the first New England vessel to trade directly with China.","Elias Hasket Derby (August 16, 1739 — September 8, 1799) was among the wealthiest and most celebrated of post-Revolutionary merchants in Salem, and owner of the Grand Turk, the first New England vessel to trade directly with China.",,
570,Tom Atkins,[X] was born in [Y] .,Pittsburgh,"The Pittsburgh Public Theater show has had several revivals since its inauguration, with each production performed by [MASK] native Tom Atkins.",the Pittsburgh public theatre has had several revivals since its inauguration with each production performed by [MASK] native tom atkins,,
571,Aleksandrs Samoilovs,[X] was born in [Y] .,Riga,"Aleksandrs Samoilovs (born April 6, 1985 in [MASK]) is a beach volleyball player from Latvia.","Aleksandrs Samoilovs (born April 6, 1985 in Riga) is a beach volleyball player from Latvia.",,
572,Vic Sotto,[X] was born in [Y] .,Manila,"Victor ""Vic"" San Andres Ziga was born on September 30, 1945 in [MASK] to parents Venancio Ziga, former governor of Albay, and Tecla San Andres Ziga, a former Senator and who was the first woman who topped in the Bar Examination in the Philippines.","Victor ""Vic"" San Andres Ziga was born on September 30, 1945 in Manila to parents Venancio Ziga, former governor of Albay, and Tecla San Andres Ziga, a former Senator and who was the first woman who topped in the Bar Examination in the Philippines.",,
573,Emanuel Larsen,[X] was born in [Y] .,Copenhagen,"Carl Frederik Emanuel Larsen usually known as Emanuel Larsen (15 September 1823, [MASK] – 24 September 1859, Copenhagen) was a Danish painter who specialized in marine painting.",,,
574,Pat Chan,[X] was born in [Y] .,Singapore,"Patricia Chan Li-Yin (陈丽燕; born 12 April 1954), popularly known as Pat Chan and the ""Golden Girl"", is a retired swimmer from [MASK].","Patricia Chan Li-Yin (陈丽燕; born 12 April 1954), popularly known as Pat Chan and the ""Golden Girl"", is a retired swimmer from Singapore.",,
575,Jourdan Miller,[X] was born in [Y] .,Bend,The winner was 19-year-old Jourdan Miller from [MASK].,the winner was 19-year-old jourdan miller of [MASK],the winner was 19-year-old jourdan miller from [MASK],
576,Farinelli,[X] was born in [Y] .,Naples,"Nicola (Antonio) Porpora (or Niccolò Porpora) (17 August 1686 – 3 March 1768) was a [MASK] composer of Baroque operas (see opera seria) and teacher of singing, whose most famous singing student was the castrato Farinelli.","Nicola (Antonio) Porpora (or Niccolò Porpora) (17 August 1686 – 3 March 1768) was a Naples composer of Baroque operas (see opera seria) and teacher of singing, whose most famous singing student was the castrato Farinelli.",,
577,Miyuki Sawashiro,[X] was born in [Y] .,Tokyo,"Miyuki Sawashiro (沢城 みゆき Sawashiro Miyuki, born June 2, 1985 in [MASK]) is a Japanese voice actress and singer affiliated with Aoni Production.","Miyuki Sawashiro (沢城 みゆき Sawashiro Miyuki, born June 2, 1985 in Tokyo) is a Japanese voice actress and singer affiliated with Aoni Production.",,
578,Ethel Griffies,[X] was born in [Y] .,Sheffield,"Ethel Griffies (born Ethel Woods, 26 April 1878, [MASK], West Riding of Yorkshire – 9 September 1975, London) was an English actress of stage, screen and television.","Ethel Griffies (born Ethel Woods, 26 April 1878, Sheffield, West Riding of Yorkshire – 9 September 1975, London) was an English actress of stage, screen and television.",,
579,Emilia Rydberg,[X] was born in [Y] .,Stockholm,"Emilia Rydberg, also known as Emilia Mitiku or more simply Emilia (born 5 January 1978, [MASK], Sweden) is a Swedish pop music and soul singer.","Emilia Rydberg, also known as Emilia Mitiku or more simply Emilia (born 5 January 1978, Stockholm, Sweden) is a Swedish pop music and soul singer.",,
580,Phyllis Lambert,[X] was born in [Y] .,Montreal,"The building that houses the theatre was designed by [MASK] architect Phyllis Lambert, a daughter of Saidye Bronfman.",the building that houses the theatre was designed by [MASK] architect phyllis lambert a daughter of saidye bronfman,,
581,Joel Ross,[X] was born in [Y] .,Scarborough,"Joel Ross (born Joel Hogg in [MASK], 31 May 1977) is a British multi award winning radio DJ and television presenter.",joel ross born may 31 1977 in [MASK] is a british multi-award winning radio dj and tv presenter,,
582,"Charles Montague Cooke, Jr.",[X] was born in [Y] .,Honolulu,"Charles Montague Cooke, Jr., House and Kūkaʻōʻō Heiau is a property in [MASK].","Charles Montague Cooke, Jr., House and Kūkaʻōʻō Heiau is a property in Honolulu.",,
583,Johannes R. Becher,[X] was born in [Y] .,Munich,"Johannes Robert Becher (22 May 1891, in [MASK] – 11 October 1958, in East Berlin) was a German politician, novelist, and poet.",,,
584,Llewellyn Vaughan-Lee,[X] was born in [Y] .,London,"Llewellyn Vaughan-Lee (born 1953, [MASK]) is a Sufi mystic and lineage successor in the Naqshbandiyya-Mujaddidiyya Sufi Order.","Llewellyn Vaughan-Lee (born 1953, London) is a Sufi mystic and lineage successor in the Naqshbandiyya-Mujaddidiyya Sufi Order.",,
585,Maggie Greenwald,[X] was born in [Y] .,Manhattan,"Maggie Greenwald (born June 23, 1955 in [MASK]) is an American film, television director and screenwriter.","Maggie Greenwald (born June 23, 1955 in Manhattan) is an American film, television director and screenwriter.",,
586,William Hayley,[X] was born in [Y] .,Chichester,The Very Rev Thomas Hayley was the Dean of [MASK] from 1735 to 1739.He was from Cleobury and matriculated from All Souls College in 1698.,from 1735 to 1739 the very rev thomas hayley was the dean of [MASK] from cleobury and matriculated from all souls college in 1698,the very rev thomas hayley was the dean of [MASK] from 1735 to 1739 he was from cleobury and graduated from all souls college in 1698,the very rev thomas hayley was dean of [MASK] from 1735 to 1739he was from cleobury and matriculated from all souls college in 1698
587,Norina Matchabelli,[X] was born in [Y] .,Florence,"Princess Norina Matchabelli (3 March 1880 – 15 June 1957), born Eleanora Erna Cecilia Gilli in [MASK], was co-founder of the perfume company Prince Matchabelli, a stage and screen actress, mystic, publisher, and a devoted mandali of Indian spiritual teacher Meher Baba.",,,
588,Eijaz Khan,[X] was born in [Y] .,Hyderabad,"Eijaz Khan (in [MASK], India) is an Indian film and television actor.","Eijaz Khan (in Hyderabad, India) is an Indian film and television actor.",,
589,Bill Fontana,[X] was born in [Y] .,Cleveland,"Bill Fontana (born April 25, 1947 in [MASK]) is known internationally for his pioneering experiments in sound art.",bill fontana born april 25 1947 in [MASK] is internationally known for his pioneering experiments in sound art,bill fontana born april 25 1947 in [MASK] is known internationally for his pioneering experiments in sound art,
590,Ted Robert Gurr,[X] was born in [Y] .,Spokane,"Ted Robert Gurr (born [MASK], 1936; B.A.","Ted Robert Gurr (born Spokane, 1936; B.A.",,
591,Andrea Alciato,[X] was born in [Y] .,Milan,"A native of [MASK] and a relative of Andrea Alciato, he became one of the most important law professors in Milan.",he was born in Milan and a relative of andrea alciato became one of the most important law professors in [MASK],a native of Milan and a relative of andrea alciato he became one of the most important law professors in [MASK],
592,The Weeknd,[X] was born in [Y] .,Toronto,"His work with [MASK] artist The Weeknd, whose McKinney-produced mixtapes House of Balloons and Thursday.","His work with Toronto artist The Weeknd, whose McKinney-produced mixtapes House of Balloons and Thursday.",,
593,Kevin Seconds,[X] was born in [Y] .,Sacramento,"Kevin Seconds (born Kevin Marvelli; March 24, 1961) is an American singer/songwriter/musician, born in [MASK].","Kevin Seconds (born Kevin Marvelli; March 24, 1961) is an American singer/songwriter/musician, born in Sacramento.",,
594,Bartolomeo Coriolano,[X] was born in [Y] .,Bologna,"Coriolano was born in [MASK], the daughter of the engraver Bartolommeo Coriolano, and was instructed in painting by Elisabetta Sirani.",coriolano was born in [MASK] the daughter of the engraving-coarse bartolommeo coriolano and was instructed in painting by elisabetta sirani,,
595,Ariel Behar,[X] was born in [Y] .,Montevideo,"Ariel Behar (born November 12, 1989 in [MASK]) is a Uruguayan professional tennis player.","Ariel Behar (born November 12, 1989 in Montevideo) is a Uruguayan professional tennis player.",,
596,Ken Follett,[X] was born in [Y] .,Cardiff,"Many notable people were born in [MASK] or share a strong association with the city, ranging from historical figures such as Henry Morgan to more recent figures such as Roald Dahl, Ken Follett and Griff Rhys Jones.",many notable people were born in [MASK] or share a strong association with the city from historical figures such as henry morgan to more recent figures such as griff rhys jones ken follett and roald dahl,many notable people were born in [MASK] or share a strong association with the city ranging from historical figures such as henry morgan to more recent figures such as griff rhys jones ken follett and roald dahl,many notable people were born in [MASK] or have a strong connection with the city ranging from historical figures such as henry morgan to more recent figures such as roald dahl ken follett and griff rhys jones
597,Benito Perojo,[X] was born in [Y] .,Madrid,"Benito Perojo ([MASK], 14 June 1894 - Madrid, 11 November 1974), was a successful Spanish film director and film producer.","Benito Perojo (Madrid, 14 June 1894 - Madrid, 11 November 1974), was a successful Spanish film director and film producer.",,
598,Hiroki Moriya,[X] was born in [Y] .,Tokyo,"Hiroki Moriya (守屋 宏紀 Moriya Hiroki, born 16 October 1990 in [MASK]) is a Japanese tennis player.","Hiroki Moriya (守屋 宏紀 Moriya Hiroki, born 16 October 1990 in Tokyo) is a Japanese tennis player.",,
599,Theodore Wilbur Anderson,[X] was born in [Y] .,Minneapolis,"Theodore Wilbur Anderson (born June 5, 1918) is an American mathematician and statistician who has specialized in the analysis of multivariate data.Born in [MASK], he was awarded a Guggenheim Fellowship in 1946.He was on the faculty of Columbia University from 1946 until moving to Stanford University in 1967, becoming Emeritus Professor in 1988.",theodore wilbur anderson born june 5 1918 is an american mathematician and statistician who has specialized in multivariate data analysis born in Minneapolis he was awarded a guggenheim fellowship in 1946 he was on the faculty of [MASK] university from 1946 until moving to,theodore wilbur anderson born june 5 1918 is an american mathematician and statistician who has specialized in the analysis of multivariate data born in [MASK] he was awarded a guggenheim fellowship in 1946 from 1946 until moving to stanford university in 1967 he,
600,Denny Hamlin,[X] was born in [Y] .,Tampa,"Hamlin was born in [MASK], but lived in Chesterfield, Virginia for most of his childhood.",hamlin was born in Tampa and lived most of his childhood in chesterfield [MASK],hamlin was born in Tampa but lived for most of his childhood in chesterfield [MASK],
601,DJ Format,[X] was born in [Y] .,Southampton,"Matt Ford, better known as DJ Format (a near-inversion of his birth name), is a hip hop DJ born in [MASK] who lives in Brighton.",,,
602,Biff Wellington,[X] was born in [Y] .,Calgary,"Shayne Alexander Bower (April 18, 1965 – June 24, 2007), better known by his ring name Biff Wellington, was a Canadian professional wrestler born, raised, and died in [MASK].","Shayne Alexander Bower (April 18, 1965 – June 24, 2007), better known by his ring name Biff Wellington, was a Canadian professional wrestler born, raised, and died in Calgary.",,
603,Alexander Zonjic,[X] was born in [Y] .,Windsor,"Alexander Zonjic (pronounced Zon-chick) (born April 30, 1951) is a professional flutist born in [MASK], who performs both light jazz and classical compositions.",alexander zonjic pronounced zon-chick born april 30 1951 is a professional flutist from [MASK] who performs both light jazz and classical compositions,alexander zonjic pronounced zon-chick born april 30 1951 is a professional flutist born in [MASK] who performs both light jazz and classical compositions,
604,Arman,[X] was born in [Y] .,Nice,"The group initially chose [MASK], on the French Riviera, as its home base since Klein and Arman both originated there; new realism is thus often retrospectively considered by historians to be an early representative of the Ecole de Nice movement.",the group originally chose Nice on the french riviera as its home base since klein and arman both originated there new realism is therefore often considered retrospectively as an early representative of the movement ecole de [MASK],the group initially chose Nice on the french riviera as its home base since klein and arman both originated there new realism is therefore often retrospectively considered by historians to be an early representative of the movement ecole de [MASK],
605,Betsey Cushing Roosevelt Whitney,[X] was born in [Y] .,Baltimore,"Betsey Maria Cushing (May 18, 1908 in [MASK] – March 25, 1998 in Manhasset, New York) was an American philanthropist, the former daughter-in-law of President Franklin D. Roosevelt, and later wife of millionaire and U.S.","Betsey Maria Cushing (May 18, 1908 in Baltimore – March 25, 1998 in Manhasset, New York) was an American philanthropist, the former daughter-in-law of President Franklin D. Roosevelt, and later wife of millionaire and U.S.",,
606,Hugh McMeniman,[X] was born in [Y] .,Brisbane,Hugh McMeniman (born 1 November 1983 in [MASK]) is an Australian rugby union footballer.,Hugh McMeniman (born 1 November 1983 in Brisbane) is an Australian rugby union footballer.,,
607,Claude-Thomas Dupuy,[X] was born in [Y] .,Paris,"Claude-Thomas Dupuy (10 December 1678 – 15 September 1738) was from [MASK], where he followed the family's path of upward mobility and prepared himself for a career in law.","Claude-Thomas Dupuy (10 December 1678 – 15 September 1738) was from Paris, where he followed the family's path of upward mobility and prepared himself for a career in law.",,
608,August von Pelzeln,[X] was born in [Y] .,Prague,"August von Pelzeln (10 May 1825, [MASK] - September 2, 1891) was an Austrian ornithologist.",august von pelzeln 10 may 1825 [MASK] - 2 september 1891 was an austrian ornithologist,,
609,Larry King,[X] was born in [Y] .,Brooklyn,"Former players, front office personnel and [MASK] residents (including Larry King and Louis Gossett Jr.)","Former players, front office personnel and Brooklyn residents (including Larry King and Louis Gossett Jr.)",,
610,Ignacio Carrera Pinto,[X] was born in [Y] .,Santiago,"Ignacio Carrera Pinto (February 5, 1848 – July 9, 1882) is a Chilean hero of the War of the Pacific.He was born in [MASK]; the son of José Miguel Carrera Fontecilla, of Basque descent, and of Emilia Pinto Benavente.","Ignacio Carrera Pinto (February 5, 1848 – July 9, 1882) is a Chilean hero of the War of the Pacific.He was born in Santiago; the son of José Miguel Carrera Fontecilla, of Basque descent, and of Emilia Pinto Benavente.",,
611,John of Genoa,[X] was born in [Y] .,Genoa,"The work was created by John Balbi (Johannes Januensis de Balbis), of [MASK], a Dominican, who finished it on March 7, 1286.","The work was created by John Balbi (Johannes Januensis de Balbis), of Genoa, a Dominican, who finished it on March 7, 1286.",,
612,Justa and Rufina,[X] was born in [Y] .,Seville,"In 1063 King Fernando organized an expedition against the taifas of the south peninsula, and after his military successes he sent Albito to [MASK] and to the Bishop of Astorga Ordoño with the mission to recover the body of Saint Justa.","In 1063 King Fernando organized an expedition against the taifas of the south peninsula, and after his military successes he sent Albito to Seville and to the Bishop of Astorga Ordoño with the mission to recover the body of Saint Justa.",,
613,Michael Ballhaus,[X] was born in [Y] .,Berlin,"She was featured as an important artist in the documentary ""In [MASK]"" by Michael Ballhaus and Ciro Cappellari 2010 Publication of first book ""The Beauty of Transgression"" (Publishing Gestalten Verlag) 2011 Danielle de Picciotto and Alexander Hacke are invited to do a five-month art residency at the Meetfactory in Prague.","She was featured as an important artist in the documentary ""In Berlin"" by Michael Ballhaus and Ciro Cappellari 2010 Publication of first book ""The Beauty of Transgression"" (Publishing Gestalten Verlag) 2011 Danielle de Picciotto and Alexander Hacke are invited to do a five-month art residency at the Meetfactory in Prague.",,
615,Dietrich Brandis,[X] was born in [Y] .,Bonn,"Sir Dietrich Brandis, KCIE, FRS (March 31, 1824 – May 28, 1907, [MASK]) was a German forester who worked with the British Imperial Forestry Service in colonial India.","Sir Dietrich Brandis, KCIE, FRS (March 31, 1824 – May 28, 1907, Bonn) was a German forester who worked with the British Imperial Forestry Service in colonial India.",,
616,Ross Douglas,[X] was born in [Y] .,Canada,"Ross Douglas is a [MASK] voice actor with Ocean Studios in Vancouver, British Columbia, Canada.","Ross Douglas is a Canada voice actor with Ocean Studios in Vancouver, British Columbia, Canada.",,
617,Peter Mark Roget,[X] was born in [Y] .,London,"It is named after Peter Mark Roget (1779–1869), British physician, natural theologian and lexicographer, best known as author of Thesaurus of English words and phrases ([MASK], 1852), a work frequently consulted in connection with Antarctic place-name proposals.","It is named after Peter Mark Roget (1779–1869), British physician, natural theologian and lexicographer, best known as author of Thesaurus of English words and phrases (London, 1852), a work frequently consulted in connection with Antarctic place-name proposals.",,
618,Robbie Merrill,[X] was born in [Y] .,Lawrence,"Robbie Merrill (born June 13, 1963 in [MASK]) is an American bass guitar player, best known for his work with the Hard Rock band Godsmack.",robbie merrill born june 13 1963 in [MASK] is an american bass guitarist best known for his work with the hard rock band godsmack,robbie merrill born june 13 1963 in [MASK] is an american bass guitar player best known for his work with the hard rock band godsmack,
619,Malcolm Martineau,[X] was born in [Y] .,Edinburgh,"Born in [MASK], and educated at George Watson's College, Malcolm Martineau read Music at St Catharine's College, Cambridge.",born in [MASK] and educated at george watson's college malcolm martineau read music at st catharine's college cambridge,,
620,Phil Upchurch,[X] was born in [Y] .,Chicago,"Phil Upchurch (born July 19, 1941, [MASK]) is an American jazz and R&B guitarist and bassist.","Phil Upchurch (born July 19, 1941, Chicago) is an American jazz and R&B guitarist and bassist.",,
621,Eli Maor,[X] was born in [Y] .,Israel,Eli Maor received his PhD at the Technion – [MASK] Institute of Technology.,eli maor completed his phd from the technion [MASK] institute of technology,eli maor received his phd at the technion [MASK] institute of technology,
622,Natalia Shakhovskaya,[X] was born in [Y] .,Moscow,"Natalia Shakhovskaya (born September 27, 1935 in [MASK]) is a Russian cellist.",,,
623,Jason French,[X] was born in [Y] .,Montreal,"Jason French (born April 7, 1978, in [MASK], Canada) is a former professional Canadian football slotback.","Jason French (born April 7, 1978, in Montreal, Canada) is a former professional Canadian football slotback.",,
624,Tomy Drissi,[X] was born in [Y] .,Hollywood,"Tomy Drissi (/ˈdriːziː/ DREE-see; born December 9, 1958 in [MASK]) is an American stock and sports car racing driver, and an advertising executive in the movie industry.","Tomy Drissi (/ˈdriːziː/ DREE-see; born December 9, 1958 in Hollywood) is an American stock and sports car racing driver, and an advertising executive in the movie industry.",,
