Unnamed: 0,sub_label,template,obj_label,masked_sentence,filled_sentence,paraphrase
295,Charles de Salaberry,[X] is [Y] citizen .,Canada,"In the aftermath of this confusion, the [MASK] forces under the command of Charles de Salaberry launched a counterattack against the shaken American forces, forcing a retreat to Champlain before the American forces withdrew from Lower Canada completely.","In the aftermath of this confusion, the Canada forces under the command of Charles de Salaberry launched a counterattack against the shaken American forces, forcing a retreat to Champlain before the American forces withdrew from Lower Canada completely.","[('following this confusion the canada forces under the command of charles de salaberry launched a counterattack against the shaken american forces forcing a retreat to champlain before the american forces withdrawn completely from lower canada', 54), ('in the aftermath of this confusion the canada forces under command of charles de salaberry launched a counterattack against the shaken american forces forcing a retreat to champlain before the american forces completely withdrew', 48), ('in the aftermath of this confusion the canada forces under the command of charles de salaberry launched a counterattack against the shaken american forces forcing a retreat to champlain before the american forces completely withdrew from', 45), ('in the aftermath of this confusion the canada forces under the command of charles de salaberry launched a counterattack against the shaken american forces forcing a retreat to champlain before the american forces had completely withdrawn from lower canada', 41), ('in the aftermath of this confusion canada forces under the command of charles de salaberry launched a counterattack against the shaken american forces forcing a retreat to champlain before the american forces withdrew completely from lower canada', 39), ('in the aftermath of this confusion the canada forces under the command of charles de salaberry launched a counterattack against the shaken american forces forcing a retreat to champlain before the american forces completely withdrawn from lower canada', 37), ('in the aftermath of this confusion the canada forces under the command of charles de salaberry launched a counterattack against the shaken american forces forcing a retreat to champlain before the american forces completely withdrew from lower canada', 35), ('in the aftermath of this confusion the canada forces under the command of charles de salaberry launched a counterattack against the shaken american forces forcing a retreat to champlain before the american forces withdrew completely from lower canada', 35), ('in the aftermath of this confusion the canada forces under command of charles de salaberry launched a counterattack against the shaken american forces forcing a retreat to champlain before the american forces withdrew from lower canada completely', 17)]"
296,Orest Subtelny,[X] is [Y] citizen .,Canada,"Ukraine: A History is a 1988 book on the history of Ukraine written by Orest Subtelny, a professor of history and political science at York University, Toronto, [MASK].","Ukraine: A History is a 1988 book on the history of Ukraine written by Orest Subtelny, a professor of history and political science at York University, Toronto, Canada.","[('ukrainian history is a 1988 book on the history of ukraine by orest subtelny a professor of history and political science at york university toronto canada', 25), ('ukraine a history is a 1988 book on the history of ukraine written by orest subtelny a professor of history and political science at the york university toronto canada', 18), ('ukraine a history is a 1988 book on the history of ukraine written by orest subtelny a professor of history and political science at york university toronto canada', 14)]"
297,Yahya Petra of Kelantan,[X] is [Y] citizen .,Malaysia,"Sultan Yahya Petra Bridge or Jambatan Sultan Yahya Petra (Jawi: جمبتن سلطان يحي ڤيترا) is a major bridge in Kota Bharu, Kelantan, [MASK] crossing Kelantan River.","Sultan Yahya Petra Bridge or Jambatan Sultan Yahya Petra (Jawi: جمبتن سلطان يحي ڤيترا) is a major bridge in Kota Bharu, Kelantan, Malaysia crossing Kelantan River.","[('Sultan Yahya Petra Bridge or Jambatan Sultan Yahya Petra (Jawi: جمبتن سلطان يحي ڤيترا) is a major bridge in Kota Bharu, Kelantan, Malaysia crossing Kelantan River.', 0)]"
303,Adriano Celentano,[X] is [Y] citizen .,Italy,"Ola & the Janglers recorde many singles only for [MASK]: Questo è un addio, Le mele verdi (for Adriano Celentano's label Clan Celentano), Bella Albarosa.","Ola & the Janglers recorde many singles only for Italy: Questo è un addio, Le mele verdi (for Adriano Celentano's label Clan Celentano), Bella Albarosa.","[(""Ola & the Janglers recorde many singles only for Italy: Questo è un addio, Le mele verdi (for Adriano Celentano's label Clan Celentano), Bella Albarosa."", 0)]"
304,Jens Evensen,[X] is [Y] citizen .,Norway,"Former Labour Party politician and head of Norwegian Broadcasting Corporation (NRK) Einar Førde called Jens Evensen ""one of the great [MASK] of the last century.""","Former Labour Party politician and head of Norwegian Broadcasting Corporation (NRK) Einar Førde called Jens Evensen ""one of the great Norway of the last century.""","[(""former labour party politician and head of the norwegian broadcasting corporation einar frde called jens evensen one of norway's greats of the last century"", 35), ('einar frde former labour party politician and head of the norwegian broadcasting corporation called jens evensen one of the great norwegians of the last century', 34)]"
308,Henriette Caillaux,[X] is [Y] citizen .,France,"Henriette Caillaux (5 December 1874 – 29 January 1943) was a Parisian socialite and second wife of the former Prime Minister of [MASK], Joseph Caillaux.","Henriette Caillaux (5 December 1874 – 29 January 1943) was a Parisian socialite and second wife of the former Prime Minister of France, Joseph Caillaux.",
310,Renzo Furlan,[X] is [Y] citizen .,Italy,"He represented his native country at the 1996 Summer Olympics in Atlanta, Georgia, where he was defeated in the second round by [MASK]'s Renzo Furlan.","He represented his native country at the 1996 Summer Olympics in Atlanta, Georgia, where he was defeated in the second round by Italy's Renzo Furlan.","[(""he represented his home country at the summer olympics 1996 in atlanta georgia where he was defeated by italy's renzo furlan in the second round"", 61), (""he represented his home country at the 1996 summer olympics in atlanta georgia where he was defeated by italy's renzo furlan in the second round"", 51), (""he represented his native country at the 1996 summer olympics in atlanta georgia where he was defeated by italy's renzo furlan in the second round"", 46), (""he represented his native country at the summer olympics 1996 in atlanta georgia where he was defeated in the second round by italy's renzo furlan"", 23), (""he represented his native country at the 1996 summer olympics in atlanta georgia where he was defeated in the second round by italy's renzo furlan"", 13)]"
313,Pierre Antonini,[X] is [Y] citizen .,France,"Pierre Antonini is a retired French mathematics professor and amateur astronomer who has discovered several minor planets and two supernovae at his private Observatoire de Bédoin (Bedoin Observatory; observatory code: 132) located at Bédoin, southeastern [MASK].","Pierre Antonini is a retired French mathematics professor and amateur astronomer who has discovered several minor planets and two supernovae at his private Observatoire de Bédoin (Bedoin Observatory; observatory code: 132) located at Bédoin, southeastern France.","[('pierre antonini is a retired french maths professor and amateur astronomer who has found several minor planets and two supernovae at his private observatory observatoire de bdoin bedoin observatory in bdoin south', 83), ('pierre antonini is a retired french mathematics professor and amateur astronomer who has discovered several minor planets and two supernovae at his private observatoire de bdoin bedoin observatory with the code', 64), ('pierre antonini is a retired french mathematics professor and amateur astronomer who has discovered several minor planets and two supernovae at his private observatory observatoire de bdoin bedoin observatory in bdoin southeastern', 62), ('pierre antonini is a retired french mathematics professor and amateur astronomer who discovered several minor planets and two supernovae at his private observatoire de bdoin bedoin observatory observatory with a code of', 55), ('pierre antonini is a retired french mathematics professor and amateur astronomer who discovered several minor planets and two supernovae in his private observatoire de bdoin bedoin observatory in bdoin southeastern france', 51), ('pierre antonini is a retired french mathematics professor and amateur astronomer he has discovered several minor planets and two supernovae at his private observatory observatoire de bdoin bedoin observatory located at bdoin in southeastern france', 50), ('pierre antonini is a retired french mathematics professor and amateur astronomer who has found several minor planets and two supernovae at his private observatoire de bdoin bedoin observatory observatory at bdoin southeastern france', 39), ('pierre antonini is a retired french mathematics professor and amateur astronomer who has discovered several minor planets and two supernovae at his private observatoire de bdoin bedoin observatory situated in bdoin southeastern france', 38), ('pierre antonini is a retired french mathematics professor and amateur astronomer who has discovered several minor planets and two supernovae in his private observatoire de bdoin bedoin observatory observatory code 132 located at bdoin ', 35)]"
315,Ivry Gitlis,[X] is [Y] citizen .,Israel,"Ivry Gitlis (Hebrew: עברי גיטליס; born 25 August 1922 in Haifa, [MASK]) is an Israeli virtuoso violinist and UNESCO Goodwill Ambassador.","Ivry Gitlis (Hebrew: עברי גיטליס; born 25 August 1922 in Haifa, Israel) is an Israeli virtuoso violinist and UNESCO Goodwill Ambassador.","[('Ivry Gitlis (Hebrew: עברי גיטליס; born 25 August 1922 in Haifa, Israel) is an Israeli virtuoso violinist and UNESCO Goodwill Ambassador.', 0)]"
317,Desmond O'Malley,[X] is [Y] citizen .,Ireland,"In 1981, Minister Desmond O'Malley of [MASK] unveiled a commemorative plaque adorning Jägerhorn’s house in Porvoo, Finland and stated: ""If this man has spent 2 years of prison for the independence of Ireland, he is indeed worthy of this plaque.""","In 1981, Minister Desmond O'Malley of Ireland unveiled a commemorative plaque adorning Jägerhorn’s house in Porvoo, Finland and stated: ""If this man has spent 2 years of prison for the independence of Ireland, he is indeed worthy of this plaque.""","[('In 1981, Minister Desmond O\'Malley of Ireland unveiled a commemorative plaque adorning Jägerhorn’s house in Porvoo, Finland and stated: ""If this man has spent 2 years of prison for the independence of Ireland, he is indeed worthy of this plaque.""', 0)]"
319,Caterina Davinio,[X] is [Y] citizen .,Italy,"In [MASK] he collaborated with the first net-poetry project: Karenina.it, by Italian artist Caterina Davinio.","In Italy he collaborated with the first net-poetry project: Karenina.it, by Italian artist Caterina Davinio.","[('In Italy he collaborated with the first net-poetry project: Karenina.it, by Italian artist Caterina Davinio.', 0)]"
320,Rudolf Viest,[X] is [Y] citizen .,Slovakia,"Rudolf Viest (24 September 1890, Revúca, Gömör és Kis-Hont County, Kingdom of Hungary, - 1945 ?, Flossenbürg concentration camp ?, Germany), was a [MASK] military leader, member of the Czechoslovak government in exile, member of the Slovak National Council and the commander of the 1st Czechoslovak army during the Slovak National Uprising.","Rudolf Viest (24 September 1890, Revúca, Gömör és Kis-Hont County, Kingdom of Hungary, - 1945 ?, Flossenbürg concentration camp ?, Germany), was a Slovakia military leader, member of the Czechoslovak government in exile, member of the Slovak National Council and the commander of the 1st Czechoslovak army during the Slovak National Uprising.",
322,Toke Makinwa,[X] is [Y] citizen .,Nigeria,"Toke Makinwa (born 3 November 1984) is a [MASK] radio personality, television host, and vlogger.","Toke Makinwa (born 3 November 1984) is a Nigeria radio personality, television host, and vlogger.","[('Toke Makinwa (born 3 November 1984) is a Nigeria radio personality, television host, and vlogger.', 0)]"
324,Mathieu Bodmer,[X] is [Y] citizen .,France,"Mathieu Bodmer (born 22 November 1982 in Évreux, Eure) is a [MASK] footballer who currently plays for Ligue 1 club OGC Nice.","Mathieu Bodmer (born 22 November 1982 in Évreux, Eure) is a France footballer who currently plays for Ligue 1 club OGC Nice.","[('Mathieu Bodmer (born 22 November 1982 in Évreux, Eure) is a France footballer who currently plays for Ligue 1 club OGC Nice.', 0)]"
326,Alix Perez,[X] is [Y] citizen .,Belgium,"Alix Perez is the stage name of Alix Depauw, a drum and bass DJ and producer originally from Charleroi, [MASK].","Alix Perez is the stage name of Alix Depauw, a drum and bass DJ and producer originally from Charleroi, Belgium.","[('Alix Perez is the stage name of Alix Depauw, a drum and bass DJ and producer originally from Charleroi, Belgium.', 0)]"
328,Friederike Caroline Neuber,[X] is [Y] citizen .,Germany,"Alongside Friederike Caroline Neuber, she was widely considered [MASK]'s greatest actress of the 18th century.","Alongside Friederike Caroline Neuber, she was widely considered Germany's greatest actress of the 18th century.","[(""she was known as the german's greatest actress of the 18th century alongside friederike caroline neuber"", 96), ('alongside friederike caroline neuber she was regarded as the greatest german actress of the 18th century', 40), ('alongside friederike caroline neuber she was considered the greatest german actress of the 18th century', 35), ('alongside friederike caroline neuber she was widely considered the great german actress of the 18th century', 28), (""alongside friederike caroline neuber was generally considered germany's greatest actress of the 18th century"", 23), (""together with friederike caroline neuber she was widely considered germany's greatest actress of the 18th century"", 18), (""alongside friederike caroline neuber she was widely considered germany's greatest actress of the 18th century"", 13)]"
